This is my sister, Morning Star.	這是我的妹妹，Morning Star。	--
This is his sister, Susan.	這是他的妹妹, Susan。	--
This is his VCR.	這是他的攝影機。	--
That is her computer.	那是她的電腦。	--
His name is Sean.	他的名字是 Sean。	--
Her name is Lin.	她叫 Lin 。	--
He is Sean’s teacher.	他是 Sean 的老師。	--
a CD player	一個 CD播放機	--
a radio	一台收音機	--
a computer	一台電腦	--
a speaker	一個喇叭	--
a tape recorder	一個錄音機	--
hit	打	--
wet	濕	--
wax	蠟	--
mix	混合	--
How’s it going?	事情進行得如何？	--
Great!	很棒！	--
It’s not my day today.	今天真不幸運。	--
Blow out the candle.	吹滅蠟燭。	--
