Is it eight o’clock now?	現在是八點嗎？	--
Yes, it is. It is eight o’clock now.	是的，它是。現在是八點。	--
No, it is not. It is eight twenty-five.	不，它不是。現在是八點二十五。	--
thirteen	十三	--
fourteen	十四	--
fifteen	十五	--
sixteen	十六	--
seventeen	十七	--
eighteen	十八	--
nineteen	十九	--
twenty	二十	--
twenty-one	二十一	--
twenty-two	二十二	--
twenty-three	二十三	--
twenty-four	二十四	--
twenty-five	二十五	--
twenty-six	二十六	--
twenty-seven	二十七	--
twenty-eight	二十八	--
twenty-nine	二十九	--
thirty	三十	--
forty	四十	--
fifty	五十	--
tent	帳篷	--
desk	桌子	--
hat	帽子	--
dad	爹地	--
What’s up?	最近過得如何？	--
Nothing special.	沒什麼特別的。	--
