I am tall.	我很高。	--
He is fat.	他很胖。	--
You are short.	你很矮。	--
They are young.	他們很年輕。	--
I am not tall.	我不高。	--
He is not fat.	他不胖。	--
You are not short.	你不矮。	--
They are not young.	他們不年輕。	--
My father is tall.	我父親很高。	--
My father is not tall.	我父親個子不高。	--
Yalu is small.	Yalu 很小。	--
Yalu is not small.	Yalu 不小。	--
big	大的	--
small	小的	--
fat	胖的	--
thin	瘦的	--
young	年輕的	--
old	老的	--
long	長的	--
short	短的	--
tall	高的	--
short	矮的	--
clean	乾淨的	--
dirty	骯髒的	--
lamp	燈	--
bill	賬單	--
map	地圖	--
farm	農場	--
nest	鳥巢	--
pan	平底鍋	--
