Is your sister a lawyer?	你姐姐是律師嗎？	--
Yes, she is. She is a lawyer.	是的，她是。她是一名律師。	--
No, she is not. She is a reporter.	不，她不是。她是一名記者。	--
Are your parents farmers?	你父母是農民嗎？	--
Yes, they are. They are farmers.	對，他們是。他們是農民。	--
No, they are not. They are doctors.	不，他們不是。他們是醫生。	--
Is she a teacher?	她是一位老師嗎？	--
Yes, she is. She is a teacher.	是的，她是。她是一名教師。	--
No, she is not. She is a reporter.	不，她不是。她是一名記者。	--
Are they bus drivers?	他們是公車司機嗎？	--
Yes, they are. They are bus drivers.	對，他們是。他們是公車司機。	--
No, they are not. They are nurses.	不，他們不是。他們是護士。	--
a firefighter	一位消防員	--
a clerk	一個辦事員	--
a lawyer	一個律師	--
a farmer	一個農民	--
a bus driver	一個公車司機	--
a taxi driver	一個計程車司機	--
gift	禮物	--
jump	跳	--
yes	是的	--
game	遊戲	--
jam	果醬	--
year	年	--
