Where is my teddy bear?	我的泰迪熊呢？	--
Where is my bird?	我的鳥在哪裡？	--
It’s not in the cage.	它(It's)不在籠子裡。	--
Of course it’s not in the cage.	當然，它(it's)不在籠子裡。	--
It’s on the stand.	它(It's)在架子上。	--
OK, where is my dog then?	好的，那我的狗呢？	--
It’s not on the sofa.	它(It's)不在沙發上。	--
Of course it’s not on the sofa.	當然它(it's)不是在沙發上。	--
It’s behind the sofa.	它(It's)在沙發後面。	--
Oh, I see him.	哦，我看見他了。	--
Be quiet. He is sleeping.	安靜。他在睡覺。	--
next to	旁邊	--
in front of	在...前面	--
behind	在...後面	--
It’s on your bed.	它(It's)在你的床上。	--
They are on the wall.	他們在牆上。	--
Where are the photos?	照片在哪裡？	--
Where is the bird?	鳥在哪裡？	--
It is next to the cage.	它在籠子旁邊。	--
a cell phone	一個手機	--
a cat	一隻貓	--
a dog	一隻狗	--
a bird	一隻鳥	--
a teddy bear	一隻泰迪熊	--
a stand	一個架子	--
a cage	一個籠子	--
a photo	一張照片	--
