[부장]으로 승진하다	升為「部長」
[실수]를 하다	犯「錯」
[실패]:성공	「失敗」<> 成功
생각이 [옳다]	想法「正確」
일이 [잘되다]	工作「很順利」
[잘못]이 많다	「錯誤」很多
순서가 [잘못되다]	順序「錯誤」
선택을 [잘못하다]	選「錯」
외국어를 [잘하다]	外語「很棒」
[계획]을 세우다	制定「計劃」
선물을 [고르다]	「挑」禮物
일을 [시키다]	「安排」任務
교육 [프로그램]	培訓「計劃」
[가격]이 비싸다	「價格」貴
[값]을 깎다	殺「價」
돈을 [갚다]	「還」錢
[공짜]	免費
[돈]을 벌다	賺「錢」
백 원짜리 [동전]	百元「硬幣」
돈이 [들다]	「花」錢
돈이 [모이다]	賺（錢）
돈을 [벌다]	「賺」錢
값이 [비싸다]	價格「昂貴」
물건을 [사다]	「買」東西
[사업] 수완	「事業」手腕
[상품]을 팔다	賣「產品」
[소포] 우편	郵寄包裹
가격이 [싸다]	價格「很便宜」
값이 [오르다]	價格「上升」
값을 [올리다]	價格「向上」
[저금]을 하다	存錢
가격이 [적당하다] 	價格「適中」
[주문]을 받다	接受「訂單」
[통장]을 만들다	開「存摺」
책을 [팔다]	「賣」書
물건이 [팔리다]	「賣」東西
[할인] 가격	「折扣」價
[현금]을 인출하다	提領「現金」
달러 [환전]	美金「換匯」
숙제 [검사]	「檢查」作業
일이 [바쁘다]	工作「很忙」
건물이 [생기다]	「建」房屋
[서류]:문서	文件
[서비스] 정신	「服務」精神
물건을 [쌓다]	貨物「堆積」
[일]이 쌓이다	「工作」累積
집을 [짓다]	「蓋」房子
[출장]을 가다	出差
[퇴근]:출근	下班
나사를 [풀다]	「鬆開」螺絲
[회사]에 다니다	在「公司」上班
[회의]가 열리다	舉行「會議」
[결과]가 나오다	「結果」出來了
[그만] 먹다	「停止」吃
학교를 [그만두다]	「輟」學
비가 [그치다]	雨「停了」
[끝]<>시작	「結尾」<>開始
수업이 [끝나다]	課程「結束」
일을 [끝내다]	工作「結束」
[드디어] 끝나다	「終於」結束了
일을 [마치다]	工作「完成」
피가 [멈추다]（動作）- 고치다(狀態）	雨「停了」
[벌써] 가다	「已經」去了
[이미] 끝나다	「已經」結束了
[사용]을 하다	進行「採用」
[아르바이트]를 구하다	找「兼職工作」
[월급]을 받다	領「薪水」
[직장]에 다니다	進「職場」
[취직]이 되다	就職
영화계 [후배]	電影界「新人」
[유리]가 깨지다	擦「玻璃」
[재료]를 준비하다	準備「材料」
[컴퓨터] 게임	「電腦」遊戲
[출근]:퇴근	出勤
[출퇴근]을 하다	通勤
[대리]로 참석하다	「代理」出席
[부서]를 옮기다	調「部門」
[사무]를 보다	辦「事」
[사무직]에 종사하다	從事「技術職」
[실장]으로 승진하다	升為「室長」
[점원]으로 일하다	當「店員」
[책임자]를 처벌하다	處罰「負責人」
