芝生 (しばふ)	lawn	hindrance	therefore	book
邪魔 (じゃま)	hindrance	therefore	book	close friend
したがって (従って)	therefore	book	close friend	wonderful
書物 (しょもつ)	book	close friend	wonderful	temperature
親友 (しんゆう)	close friend	wonderful	temperature	title
素晴らしい (すばらしい)	wonderful	temperature	title	word
体温 (たいおん)	temperature	title	word	morals
題 (だい)	title	word	morals	riddle
単語 (たんご)	word	morals	riddle	to tear
道徳 (どうとく)	morals	riddle	to tear	disregarding
謎 (なぞ)	riddle	to tear	disregarding	dawn
破る (やぶる)	to tear	disregarding	dawn	abuse
無視 (むし)	disregarding	dawn	abuse	poor
夜明け (よあけ)	dawn	abuse	poor	to notice
悪口 (あっこう)	abuse	poor	to notice	to eat 
かわいそう (可哀相)	poor	to notice	to eat 	odour
気づく (きづく)	to notice	to eat 	odour	step
食う (くう)	to eat 	odour	step	old age
匂い (におい)	odour	step	old age	you 
段 (だん)	step	old age	you 	pity
