祝い (いわい)	congratulation	meeting	jest	needle
出会い (であい)	meeting	jest	needle	drawing
冗談 (じょうだん)	jest	needle	drawing	respect
針 (はり)	needle	drawing	respect	bag
図 (ず)	drawing	respect	bag	most part
尊重 (そんちょう)	respect	bag	most part	passage 
袋 (ふくろ)	bag	most part	passage 	weather
大部分 (だいぶぶん)	most part	passage 	weather	arrival
通行 (つうこう)	passage 	weather	arrival	bachelorhood
天候 (てんこう)	weather	arrival	bachelorhood	basin 
到着 (とうちゃく)	arrival	bachelorhood	basin 	each time
独身 (どくしん)	bachelorhood	basin 	each time	pillow
