パイプ	pipe	pilot	passport	video
パイロット	pilot	passport	video	picnic
パスポート	passport	video	picnic	pin 
ビデオ	video	picnic	pin 	brake
ピクニック	picnic	pin 	brake	plus
ピン	pin 	brake	plus	plan
ブレーキ	brake	plus	plan	professional
プラス	plus	plan	professional	belt 
プラン	plan	professional	belt 	bench
プロ	professional	belt 	bench	paint
ベルト	belt 	bench	paint	platform 
ベンチ	bench	paint	platform 	boy 
ペンキ	paint	platform 	boy 	boat
ホーム	platform 	boy 	boat	ball 
ボーイ	boy 	boat	ball 	market
ボート	boat	ball 	market	mike
ボール	ball 	market	mike	mama
マーケット	market	mike	mama	mistake
マイク	mike	mama	mistake	milk
ママ	mama	mistake	milk	memo
