絶滅 (ぜつめつ)	extinction	fishing	type	consent
釣り (つり)	fishing	type	consent	bankruptcy
典型 (てんけい)	type	consent	bankruptcy	height
納得 (なっとく)	consent	bankruptcy	height	criticism
破産 (はさん)	bankruptcy	height	criticism	leather
背 (せい)	height	criticism	leather	writing brush
批評 (ひひょう)	criticism	leather	writing brush	garments
革 (かわ)	leather	writing brush	garments	physics
筆 (ふで)	writing brush	garments	physics	friend
服装 (ふくそう)	garments	physics	friend	safety
物理 (ぶつり)	physics	friend	safety	to be silent
味方 (みかた)	friend	safety	to be silent	nakedness
無事 (ぶじ)	safety	to be silent	nakedness	light
黙る (だまる)	to be silent	nakedness	light	school subject
裸 (はだか)	nakedness	light	school subject	happiness
灯 (ひ)	light	school subject	happiness	gathering
科目 (かもく)	school subject	happiness	gathering	sequel
幸せ (しあわせ)	happiness	gathering	sequel	devil
集まり (あつまり)	gathering	sequel	devil	eternity
続き (つづき)	sequel	devil	eternity	crossing
