重視 (じゅうし)	regarding as important	gun	moment	favourable
銃 (じゅう)	gun	moment	favourable	signature
瞬間 (しゅんかん)	moment	favourable	signature	actress
順調 (じゅんちょう)	favourable	signature	actress	pine tree 
署名 (しょめい)	signature	actress	pine tree 	symptoms
女優 (じょゆう)	actress	pine tree 	symptoms	laugh
松 (まつ)	pine tree 	symptoms	laugh	smiling face
症状 (しょうじょう)	symptoms	laugh	smiling face	collision
笑い (わらい)	laugh	smiling face	collision	always
笑顔 (えがお)	smiling face	collision	always	plant
衝突 (しょうとつ)	collision	always	plant	food
常に (つねに)	always	plant	food	heart 
植物 (しょくぶつ)	plant	food	heart 	worry
食料 (しょくりょう)	food	heart 	worry	state of mind
心臓 (しんぞう)	heart 	worry	state of mind	mankind
心配 (しんぱい)	worry	state of mind	mankind	century 
心理 (しんり)	state of mind	mankind	century 	logical true
人類 (じんるい)	mankind	century 	logical true	living thing
世紀 (せいき)	century 	logical true	living thing	absolutely
正 (せい)	logical true	living thing	absolutely	operation
