とんでもない (とんでも無い)	unthinkable	what	how	because
どんな	what	how	because	carefree
どんなに	how	because	carefree	tightly
なぜなら (何故なら)	because	carefree	tightly	dimly
のんびり	carefree	tightly	dimly	just 
ぴったり	tightly	dimly	just 	before long
ぼんやり	dimly	just 	before long	whisky
まあ	just 	before long	whisky	jet aeroplane
やがて (軈て)	before long	whisky	jet aeroplane	sofa
ウイスキー	whisky	jet aeroplane	sofa	mischief
ジェット機 (ジェットき)	jet aeroplane	sofa	mischief	idea
ソファ	sofa	mischief	idea	throne
いたずら (悪戯)	mischief	idea	throne	to hide
案 (あん)	idea	throne	to hide	forever
位 (くらい)	throne	to hide	forever	somewhere
隠れる (かくれる)	to hide	forever	somewhere	lovely
いつまでも (何時までも)	forever	somewhere	lovely	selfish
どこか (何処か)	somewhere	lovely	selfish	meeting
可愛らしい (かわいらしい)	lovely	selfish	meeting	to untie
わがまま (我が儘)	selfish	meeting	to untie	to be solved 
