脇 (わき)	armpit	luxury	to be 	in the middle of
贅沢 (ぜいたく)	luxury	to be 	in the middle of	to pour 
おる (居る)	to be 	in the middle of	to pour 	to fall down
最中 (さいちゅう)	in the middle of	to pour 	to fall down	months and years
注ぐ (そそぐ)	to pour 	to fall down	months and years	cheek 
転ぶ (ころぶ)	to fall down	months and years	cheek 	to get tired of
年月 (としつき)	months and years	cheek 	to get tired of	a certain ...
頬 (ほお)	cheek 	to get tired of	a certain ...	memorization
飽きる (あきる)	to get tired of	a certain ...	memorization	to catch up 
ある (或)	a certain ...	memorization	to catch up 	to dedicate
暗記 (あんき)	memorization	to catch up 	to dedicate	to fear
追いつく (おいつく)	to catch up 	to dedicate	to fear	to replace 
収める (おさめる)	to dedicate	to fear	to replace 	basket 
恐れる (おそれる)	to fear	to replace 	basket 	good luck
換える (かえる)	to replace 	basket 	good luck	to freeze
かご (籠)	basket 	good luck	to freeze	parcel
幸運 (こううん)	good luck	to freeze	parcel	just a minute
凍る (こおる)	to freeze	parcel	just a minute	to recommend 
小包 (こづつみ)	parcel	just a minute	to recommend 	tedium
少々 (しょうしょう)	just a minute	to recommend 	tedium	to make war 
