気候 (きこう)	climate	sensation	oni	rest
気味 (きみ)	sensation	oni	rest	border
鬼 (おに)	oni	rest	border	abstaining from smoking
休憩 (きゅうけい)	rest	border	abstaining from smoking	muscle
境 (さかい)	border	abstaining from smoking	muscle	Friday
禁煙 (きんえん)	abstaining from smoking	muscle	Friday	poor 
筋肉 (きんにく)	muscle	Friday	poor 	to furnish with
金曜 (きんよう)	Friday	poor 	to furnish with	to tie
苦手 (にがて)	poor 	to furnish with	to tie	seeing one off
備える (そなえる)	to furnish with	to tie	seeing one off	liking
結ぶ (むすぶ)	to tie	seeing one off	liking	wonderful
見送り (みおくり)	seeing one off	liking	wonderful	national language 
好み (このみ)	liking	wonderful	national language 	seat
豪華 (ごうか)	wonderful	national language 	seat	talent
国語 (こくご)	national language 	seat	talent	oxygen 
座席 (ざせき)	seat	talent	oxygen 	to pay
才能 (さいのう)	talent	oxygen 	to pay	thing
酸素 (さんそ)	oxygen 	to pay	thing	congratulation
支払う (しはらう)	to pay	thing	congratulation	meeting
こと (事)	thing	congratulation	meeting	jest
