演奏 (えんそう)	musical performance	unexpected	movement	what the heck
意外 (いがい)	unexpected	movement	what the heck	coincidence
移動 (いどう)	movement	what the heck	coincidence	chemistry
一体 (いったい)	what the heck	coincidence	chemistry	nothing 
一致 (いっち)	coincidence	chemistry	nothing 	complete
化学 (かがく)	chemistry	nothing 	complete	perfect
何も (なにも)	nothing 	complete	perfect	emotion
完成 (かんせい)	complete	perfect	emotion	welcome
完全 (かんぜん)	perfect	emotion	welcome	audience
感情 (かんじょう)	emotion	welcome	audience	flag 
歓迎 (かんげい)	welcome	audience	flag 	already
観客 (かんきゃく)	audience	flag 	already	memory
旗 (はた)	flag 	already	memory	precious
すでに (既に)	already	memory	precious	sphere 
記憶 (きおく)	memory	precious	sphere 	huge
貴重 (きちょう)	precious	sphere 	huge	to permit
球 (きゅう)	sphere 	huge	to permit	powerful
巨大 (きょだい)	huge	to permit	powerful	textbook
許す (ゆるす)	to permit	powerful	textbook	metal
強力 (きょうりょく)	powerful	textbook	metal	concrete
