支給 (しきゅう)	provision	poet	suicide	to lose
詩人 (しじん)	poet	suicide	to lose	mainly
自殺 (じさつ)	suicide	to lose	mainly	to finish 
失う (うしなう)	to lose	mainly	to finish 	lodging
主に (おもに)	mainly	to finish 	lodging	incident
終える (おえる)	to finish 	lodging	incident	order
宿泊 (しゅくはく)	lodging	incident	order	assistant
出来事 (できごと)	incident	order	assistant	queen
順 (じゅん)	order	assistant	queen	trade
助手 (じょしゅ)	assistant	queen	trade	fire fighting 
女王 (じょおう)	queen	trade	fire fighting 	proof
商売 (しょうばい)	trade	fire fighting 	proof	prize
消防 (しょうぼう)	fire fighting 	proof	prize	signal
証明 (しょうめい)	proof	prize	signal	height 
賞 (しょう)	prize	signal	height 	entering a higher-level school
信号 (しんごう)	signal	height 	entering a higher-level school	society
身長 (しんちょう)	height 	entering a higher-level school	society	world
進学 (しんがく)	entering a higher-level school	society	world	the other day
世の中 (よのなか)	society	world	the other day	spring
世間 (せけん)	world	the other day	spring	advance
