緊張 (きんちょう)	tension	present day	amount of money	emptiness
近代 (きんだい)	present day	amount of money	emptiness	training
金額 (きんがく)	amount of money	emptiness	training	drama
空 (から)	emptiness	training	drama	construction
訓練 (くんれん)	training	drama	construction	shoulder
劇 (げき)	drama	construction	shoulder	cash
建築 (けんちく)	construction	shoulder	cash	phenomenon
肩 (かた)	shoulder	cash	phenomenon	organization
現金 (げんきん)	cash	phenomenon	organization	contribution 
現象 (げんしょう)	phenomenon	organization	contribution 	sum total
構成 (こうせい)	organization	contribution 	sum total	distinction
貢献 (こうけん)	contribution 	sum total	distinction	least
合計 (ごうけい)	sum total	distinction	least	ingredients
差別 (さべつ)	distinction	least	ingredients	reference
最低 (さいてい)	least	ingredients	reference	remnant
材料 (ざいりょう)	ingredients	reference	remnant	thought
参考 (さんこう)	reference	remnant	thought	domination
残り (のこり)	remnant	thought	domination	resources
思想 (しそう)	thought	domination	resources	funds
支配 (しはい)	domination	resources	funds	unemployment 
