苦痛 (くつう)	pain	company	happiness	high price
交際 (こうさい)	company	happiness	high price	grain
幸福 (こうふく)	happiness	high price	grain	engagement
高価 (こうか)	high price	grain	engagement	congestion
穀物 (こくもつ)	grain	engagement	congestion	disappointment
婚約 (こんやく)	engagement	congestion	disappointment	turn 
混雑 (こんざつ)	congestion	disappointment	turn 	knowledge
失望 (しつぼう)	disappointment	turn 	knowledge	food
順番 (じゅんばん)	turn 	knowledge	food	tongue 
承知 (しょうち)	knowledge	food	tongue 	used
食物 (しょくもつ)	food	tongue 	used	staying up all night
舌 (した)	tongue 	used	staying up all night	present
中古 (ちゅうこ)	used	staying up all night	present	headache
徹夜 (てつや)	staying up all night	present	headache	saucepan
土産 (みやげ)	present	headache	saucepan	sunlight
頭痛 (ずつう)	headache	saucepan	sunlight	delivery
鍋 (なべ)	saucepan	sunlight	delivery	development
日光 (にっこう)	sunlight	delivery	development	beautiful woman
配達 (はいたつ)	delivery	development	beautiful woman	flight 
発達 (はったつ)	development	beautiful woman	flight 	gem
