輸出 (ゆしゅつ)	export 	importation	overall victory	estimate
輸入 (ゆにゅう)	importation	overall victory	estimate	demand
優勝 (ゆうしょう)	overall victory	estimate	demand	position
予算 (よさん)	estimate	demand	position	continuation
要求 (ようきゅう)	demand	position	continuation	one o'clock 
立場 (たちば)	position	continuation	one o'clock 	countrywide
連続 (れんぞく)	continuation	one o'clock 	countrywide	average
一時 (いちじ)	one o'clock 	countrywide	average	doing together 
全国 (ぜんこく)	countrywide	average	doing together 	cooperation
平均 (へいきん)	average	doing together 	cooperation	silver 
共同 (きょうどう)	doing together 	cooperation	silver 	situation
協力 (きょうりょく)	cooperation	silver 	situation	manual labor
銀 (ぎん)	silver 	situation	manual labor	love
事態 (じたい)	situation	manual labor	love	stability
労働 (ろうどう)	manual labor	love	stability	consciousness 
愛 (あい)	love	stability	consciousness 	difference
安定 (あんてい)	stability	consciousness 	difference	doctor
意識 (いしき)	consciousness 	difference	doctor	universe
違い (ちがい)	difference	doctor	universe	operation 
医師 (いし)	doctor	universe	operation 	business
