他人 (たにん)	another person	end 	opponent	stimulus
端 (はし)	end 	opponent	stimulus	in succession
敵 (てき)	opponent	stimulus	in succession	frantic
刺激 (しげき)	stimulus	in succession	frantic	lunch
次々 (つぎつぎ)	in succession	frantic	lunch	home town
必死 (ひっし)	frantic	lunch	home town	king
昼食 (ちゅうしょく)	lunch	home town	king	poem
ふるさと (故郷)	home town	king	poem	indeed
王 (おう)	king	poem	indeed	request
詩 (し)	poem	indeed	request	instant
実に (じつに)	indeed	request	instant	printing
依頼 (いらい)	request	instant	printing	nutrition
一瞬 (いっしゅん)	instant	printing	nutrition	postponement
印刷 (いんさつ)	printing	nutrition	postponement	to respond
栄養 (えいよう)	nutrition	postponement	to respond	roof
延期 (えんき)	postponement	to respond	roof	warm
応じる (おうじる)	to respond	roof	warm	temperature
屋根 (やね)	roof	warm	temperature	housework
温暖 (おんだん)	warm	temperature	housework	practical use
温度 (おんど)	temperature	housework	practical use	being deeply moved emotionally
