つまり (詰まり)	that is to say	just 	scene	why
途端 (とたん)	just 	scene	why	one by one
眺め (ながめ)	scene	why	one by one	ice cream
なんで (何で)	why	one by one	ice cream	iron 
一人一人 (ひとりひとり)	one by one	ice cream	iron 	out 
アイスクリーム	ice cream	iron 	out 	album
アイロン	iron 	out 	album	ink
アウト	out 	album	ink	energy 
アルバム	album	ink	energy 	engine
インク	ink	energy 	engine	card 
エネルギー	energy 	engine	card 	camp
エンジン	engine	card 	camp	classical music 
カード	card 	camp	classical music 	cream
キャンプ	camp	classical music 	cream	Christmas
クラシック	classical music 	cream	Christmas	glass 
クリーム	cream	Christmas	glass 	group 
クリスマス	Christmas	glass 	group 	case 
グラス	glass 	group 	case 	game
グループ	group 	case 	game	coach
ケース	case 	game	coach	code 
