以前 (いぜん)	ago	intention	much more	impression
意思 (いし)	intention	much more	impression	pollution
一層 (いっそう)	much more	impression	pollution	something
印象 (いんしょう)	impression	pollution	something	value
汚染 (おせん)	pollution	something	value	singer
何か (なにか)	something	value	singer	painting
価値 (かち)	value	singer	painting	confirmation
歌手 (かしゅ)	singer	painting	confirmation	scholar
絵画 (かいが)	painting	confirmation	scholar	study
確認 (かくにん)	confirmation	scholar	study	picture 
学者 (がくしゃ)	scholar	study	picture 	stock
学習 (がくしゅう)	study	picture 	stock	sense
額 (がく)	picture 	stock	sense	machine
株 (かぶ)	stock	sense	machine	duty
感覚 (かんかく)	sense	machine	duty	rapid 
機械 (きかい)	machine	duty	rapid 	permission
義務 (ぎむ)	duty	rapid 	permission	supply
急速 (きゅうそく)	rapid 	permission	supply	tension
許可 (きょか)	permission	supply	tension	present day
供給 (きょうきゅう)	supply	tension	present day	amount of money
