残す (のこす)	to leave 	mail service	advantageous	joy
郵便 (ゆうびん)	mail service	advantageous	joy	win
有利 (ゆうり)	advantageous	joy	win	other 
喜び (よろこび)	joy	win	other 	strangeness
勝ち (かち)	win	other 	strangeness	species
他 (た)	other 	strangeness	species	retirement
異常 (いじょう)	strangeness	species	retirement	yen
一種 (いっしゅ)	species	retirement	yen	acting
引退 (いんたい)	retirement	yen	acting	rim
円 (えん)	yen	acting	rim	something
演技 (えんぎ)	acting	rim	something	conflagration
縁 (ふち)	rim	something	conflagration	painter
なんとか (何とか)	something	conflagration	painter	account
火災 (かさい)	conflagration	painter	account	explanation
画家 (がか)	painter	account	explanation	sweat
会計 (かいけい)	account	explanation	sweat	desire
解釈 (かいしゃく)	explanation	sweat	desire	atmospheric temperature
汗 (あせ)	sweat	desire	atmospheric temperature	holiday
願い (ねがい)	desire	atmospheric temperature	holiday	sudden
気温 (きおん)	atmospheric temperature	holiday	sudden	robber
