教科書 (きょうかしょ)	textbook	metal	concrete	police detective 
金属 (きんぞく)	metal	concrete	police detective 	calculation
具体 (ぐたい)	concrete	police detective 	calculation	hole 
刑事 (けいじ)	police detective 	calculation	hole 	limit
計算 (けいさん)	calculation	hole 	limit	mutual
穴 (あな)	hole 	limit	mutual	back
限界 (げんかい)	limit	mutual	back	bone 
互い (たがい)	mutual	back	bone 	difficulty
腰 (こし)	back	bone 	difficulty	property
骨 (ほね)	bone 	difficulty	property	composition
困難 (こんなん)	difficulty	property	composition	expenditure
財産 (ざいさん)	property	composition	expenditure	death
作曲 (さっきょく)	composition	expenditure	death	time
支出 (ししゅつ)	expenditure	death	time	automatic action
死亡 (しぼう)	death	time	automatic action	quality
時 (とき)	time	automatic action	quality	alcohol
自動 (じどう)	automatic action	quality	alcohol	week
質 (しつ)	quality	alcohol	week	regarding as important
酒 (さけ)	alcohol	week	regarding as important	gun
週 (しゅう)	week	regarding as important	gun	moment
