ミス	mistake	milk	memo	member
ミルク	milk	memo	member	humor
メモ	memo	member	humor	yacht 
メンバー	member	humor	yacht 	lighter 
ユーモア	humor	yacht 	lighter 	racket
ヨット	yacht 	lighter 	racket	rocket 
ライター	lighter 	racket	rocket 	wine
ラケット	racket	rocket 	wine	to elevate
ロケット	rocket 	wine	to elevate	approximate time
ワイン	wine	to elevate	approximate time	Japan
持ち上げる (もちあげる)	to elevate	approximate time	Japan	very
ころ (頃)	approximate time	Japan	very	here and there
日本 (にほん)	Japan	very	here and there	lunch 
なかなか (中中)	very	here and there	lunch 	beer
あちこち (彼方此方)	here and there	lunch 	beer	wrong
お昼 (おひる)	lunch 	beer	wrong	chattering
ビール	beer	wrong	chattering	may
いけない (行けない)	wrong	chattering	may	feel disappointed
おしゃべり (お喋り)	chattering	may	feel disappointed	properly
かもしれない (かも知れない)	may	feel disappointed	properly	tough
