다	全	略	我自己	真實發生
다녀오다	去一趟	去	受傷	耗盡
다니다	去	受傷	耗盡	擦
다르다	不同的	甜的	鬱悶	髒
다른	別的	兩三個	僅僅	全部
다리	腿	橋	熨	各種
다리	橋	橋	熨	各種
다림질	熨	各種	隔	隔天
다섯째	第五個	第二	第三	第二十天
다시	再次	更多的	更	終於
다양	各種	隔	隔天	減肥
다음	隔	隔天	減肥	單純
다음날	隔天	減肥	單純	單詞
다이어트	減肥	單純	單詞	扣子
다치다	受傷	耗盡	擦	關
다하다	耗盡	擦	關	跑
닦다	擦	關	跑	像
단순	單純	單詞	扣子	楓葉
단어	單詞	扣子	楓葉	雞蛋
단추	扣子	楓葉	雞蛋	掛日曆
단풍	楓葉	雞蛋	掛日曆	跑步
닫다	關	跑	像	扔
달	-月	莖幹	石頭	籌措
달걀	雞蛋	掛日曆	跑步	雞
달다	甜的	改變	哄	跑去
달력	掛日曆	跑步	雞	雞肉
달리기	跑步	雞	雞肉	香煙
달리다	跑	像	扔	帶去
닭	雞	雞肉	香煙	回答
닭고기	雞肉	香煙	回答	回信
닮다	像	扔	帶去	帶來
담배	香煙	回答	回信	大邱
답	回答	回信	大邱	回覆
답답하다	鬱悶	髒	熱	厚
답장	回信	大邱	回覆	大使館
대	-台	石頭	籌措	車輪
대구	大邱	回覆	大使館	大田
대답	回覆	大使館	大田	大學
대부분	大部份	暫時	大綱	大概
대사관	大使館	大田	大學	大眾
대전	大田	大邱	大學	大學生
대학	大學	中學	大學生	研究所
대학교	大學	大學生	研究所	對話
대학생	大學生	研究所	對話	運動會，錦標賽
대학원	研究所	對話	運動會，錦標賽	父母
대화	對話	運動會，錦標賽	父母	見面
대회	運動會，錦標賽	父母	見面	道路
댁	家	本人名義	自己	橫向
더	更多的	更	終於	個別
더럽다	髒	熱	厚	溫暖
더욱	更	終於	個別	又
덕분	父母	見面	道路	城市
던지다	扔	帶去	帶來	幫忙
덥다	熱	厚	溫暖	相同的
데려가다	帶去	帶來	幫忙	旋轉
데려오다	帶來	幫忙	旋轉	還
데이트	見面	道路	城市	幫助
도	度	道	月	時候
도로	道路	反倒	怎麼也	實在
도시	城市	幫助	到達	讀書
도와주다	幫忙	旋轉	還	爬上
도움	幫助	到達	讀書	德國
도착	到達	讀書	德國	錢
독서	讀書	德國	錢	豬排
독일	德國	錢	豬排	石頭
돈	錢	豬排	石頭	小鎮
돈가스	豬排	石頭	小鎮	東大門
돌	石頭	小鎮	東大門	動物
돌다	旋轉	還	闗掉	放手
돌려주다	還	旋轉	轉動	回來
돌리다	旋轉	轉動	回來	助
돌아가다	轉動	回來	助	當
돌아오다	回來	助	當	放
돕다	助	當	放	給
동네	小鎮	東大門	動物	弟弟
동대문	東大門	動物	弟弟	同時
동물	動物	弟弟	同時	期間
동생	弟弟	同時	期間	硬幣
동시	同時	期間	硬幣	東方
동안	期間	硬幣	東方	豬
동전	硬幣	東方	豬	豬肉
동쪽	東方	豬	豬肉	味噌醬
돼지	豬	豬肉	味噌醬	味噌鍋
돼지고기	豬肉	味噌醬	味噌鍋	豆腐
되다	當	放	給	聽
된장	味噌醬	味噌鍋	豆腐	頭痛
된장찌개	味噌鍋	豆腐	頭痛	後
두껍다	厚	溫暖	相同的	聰明
두다	放	給	聽	花
두부	豆腐	頭痛	後	後面
두세	兩三個	僅僅	四五個	胡亂想
두통	頭痛	後	後面	連續劇
둘째	第二	第三	第二十天	第九
뒤	後	後面	連續劇	背
뒤쪽	後面	連續劇	背	登山
드디어	終於	個別	又	或
드라마	連續劇	背	登山	設計
드리다	給	聽	花	提著
듣다	聽	花	提著	進去
들다	花	提著	進去	聽到
들다	提著	提著	進去	聽到
들르다	進去	聽到	緊挨著	進來
들리다	聽到	進去	進來	離開
들어가다	進去	進來	離開	大聲
들어오다	進來	離開	大聲	掉下
등	背	登山	設計	女兒
등산	登山	設計	女兒	草莓
디자인	設計	女兒	草莓	汗
따뜻하다	溫暖	相同的	聰明	胖
따로	個別	又	或	平均
딸	女兒	草莓	汗	地上
딸기	草莓	汗	地上	小時
땀	汗	地上	小時	年糕
땅	地上	小時	年糕	年糕湯
때	小時	年糕	年糕湯	炒年糕
떠나다	離開	大聲	掉下	跑
떠들다	大聲	掉下	跑	跑去
떡	年糕	年糕湯	炒年糕	意思
떡국	年糕湯	炒年糕	意思	熨斗
떡볶이	炒年糕	意思	熨斗	咖啡廳
떨어지다	掉下	跑	跑去	睜
또	又	或	平均	向前
또는	或	平均	向前	幸虧
똑같다	相同的	聰明	胖	燙
똑같이	平均	向前	幸虧	簡單地
똑똑하다	聰明	胖	燙	一樣
똑바로	向前	幸虧	簡單地	不同
뚱뚱하다	胖	燙	一樣	慶幸
뛰다	跑	跑去	睜	走近
뛰어가다	跑去	睜	走近	緊挨著
뜨겁다	燙	一樣	慶幸	硬
뜨다	睜	走近	緊挨著	走遠
뜻	意思	熨斗	咖啡廳	多數人
