하얀색	白色	飯店	星期二	天空
차	車	茶	順序	冷水
차	茶	茶	順序	冷水
차갑다	涼	熱	好	溫
차다	滿滿地	踢	戴	忍住
차다	踢	踢	戴	忍住
차다	戴	踢	戴	忍住
차다	涼	踢	戴	忍住
차례	順序	冷水	香瓜	窗
착하다	好	冷	充足	親密
찬물	冷水	香瓜	窗	蔬菜
참	真	慢慢	不如	忍心
참다	忍住	找	去找	來找
참외	香瓜	窗	蔬菜	書
창문	窗	蔬菜	書	書桌
찾다	找	去找	來找	來訪
찾아가다	去找	來找	來訪	仰望
찾아보다	來找	來訪	仰望	跳
찾아오다	來訪	仰望	跳	跳舞
채소	蔬菜	書	書桌	書櫃
책	書	書桌	書櫃	先
책상	書桌	書櫃	先	第一天
책장	書櫃	先	第一天	伙子
처음	先	第一天	伙子	牛仔褲
천천히	慢慢	不如	忍心	漸漸
첫	初次	總	一位	一個或兩個
첫날	第一天	伙子	牛仔褲	清掃
첫째	第一	千萬	九	九十
청년	伙子	牛仔褲	清掃	青少年
청바지	牛仔褲	清掃	青少年	體育館
청소	清掃	青少年	體育館	格子
청소년	青少年	體育館	格子	邀請
체육관	體育館	格子	邀請	邀請函
체크무늬	格子	邀請	邀請函	小學
쳐다보다	仰望	跳	跳舞	拍
초	初-			
초	-秒			
초대	邀請	邀請函	小學	小學生
초대장	邀請函	小學	小學生	草綠色
초등학교	小學	小學生	草綠色	巧克力
초등학생	小學生	草綠色	巧克力	最高
초록색	草綠色	巧克力	最高	最近
초콜릿	巧克力	最高	最近	中秋節
최고	最高	最近	中秋節	足球
최근	最近	中秋節	足球	很久
추다	跳	跳舞	拍	準備
추석	中秋節	中元	足球	慶祝
축구	足球	菊花	慶祝	出口
축구공	足球	慶祝	出口	出勤
축하	慶祝	出口	出勤	出發
출구	出口	出勤	出發	出席
출근	出勤	出發	出席	出入
출발	出發	出席	出入	出入境
출석	出席	出入	出入境	出差
출입	出入	出入境	出差	通勤
출입국	出入境	出差	通勤	舞
출장	出差	通勤	舞	休閒
출퇴근	通勤	舞	休閒	取消
춤	舞	休閒	取消	就職
춤추다	跳舞	拍	準備	找出
춥다	冷	充足	親密	土裡土氣
충분하다	充足	親密	土裡土氣	黑暗
취미	休閒	取消	就職	層
취소	取消	就職	層	牙科
취직	就職	層	牙科	治療
층	層	牙科	治療	裙子
치과	牙科	治療	裙子	牙膏
치다	拍	準備	找出	尋找
치료	治療	裙子	牙膏	雞肉
치마	裙子	牙膏	雞肉	朋友
치약	牙膏	雞肉	朋友	親切
치킨	雞肉	朋友	親切	親戚
친구	朋友	親切	親戚	黑板
친절	親切	親戚	黑板	床
친척	親戚	黑板	床	臥室
친하다	親密	土裡土氣	黑暗	大的
칠판	黑板	床	臥室	牙刷
침대	床	臥室	牙刷	稱讚
침실	臥室	牙刷	稱讚	車道
칫솔	牙刷	稱讚	車道	車輛
칭찬	稱讚	車道	車輛	人行道
카드	卡片	咖哩	相機	咖啡店
카레	咖哩	相機	咖啡店	切
카메라	相機	咖啡店	切	刀削麵
카페	咖啡店	切	刀削麵	加拿大
칼	切	刀削麵	加拿大	咖啡
칼국수	刀削麵	加拿大	咖啡	咖啡館
캐나다	加拿大	咖啡	咖啡館	電腦
커피	咖啡	咖啡館	電腦	杯子
커피숍	咖啡館	電腦	杯子	蛋糕
컴퓨터	電腦	杯子	蛋糕	鼻子
컵	杯子	蛋糕	鼻子	大象
케이크	蛋糕	鼻子	大象	音樂會
켜다	開	拉	養狗	變大
켜다	拉	拉	養狗	變大
켤레	-雙			
코	鼻子	大象	音樂會	可樂
코끼리	大象	音樂會	可樂	鼻涕
콘서트	音樂會	可樂	鼻涕	豆子
콜라	可樂	鼻涕	豆子	尺寸
콧물	鼻涕	豆子	尺寸	聖誕樹
콩	豆子	尺寸	聖誕樹	大聲
크기	尺寸	聖誕樹	大聲	個子
크다	大	-種	一個	三個月
크리스마스	聖誕樹	大聲	個子	間
큰소리	大聲	個子	間	活動
키	個子	間	活動	切
키우다	養狗	變大	著（火）	搭
킬로그램	-公斤			
킬로미터	-公里			
타다	著（火）	搭	沖	誕生
타다	搭	搭	沖	誕生
타다	沖	搭	沖	誕生
탁구	桌球	糖醋肉	泰國	跆拳道
탕수육	糖醋肉	泰國	跆拳道	太極旗
태국	泰國	跆拳道	太極旗	態度
태권도	跆拳道	太極旗	態度	颱風
태극기	太極旗	態度	颱風	送貨
태도	態度	颱風	送貨	計程車
태어나다	誕生	炸	開	錯
태풍	颱風	送貨	計程車	航廈
택배	送貨	計程車	航廈	網球
택시	計程車	航廈	網球	網球場
터미널	航廈	網球	網球場	桌子
테니스	網球	網球場	桌子	電視
