통통하다	胖乎乎的	肯定是	天藍	不舒服
통하다	透	吐	賣	翻
통행	通行	退休	投資	投票
퇴직	退休	投資	投票	專長
투자	投資	投票	專長	特性
투표	投票	專長	特性	特殊
특기	專長	特性	特殊	特定
특성	特性	特殊	特定	特色
특수	特殊	特定	特色	藍色
특정	特定	特色	藍色	八月
특징	特色	藍色	八月	便利商店
틀림없다	肯定是	天藍	不舒服	舒坦
틀림없이	定局	抽空	熟睡	很
틈	光圈	四	二	三
틈틈이	抽空	熟睡	很	安逸
파	蔥	破壞	海浪	藍
파괴	破壞	海浪	藍	燙髮
파다	挖	散開	出版	寬敞
파도	海浪	藍	燙髮	文件
파랑	藍	燙髮	文件	派出所
파마	燙髮	文件	派出所	夥伴
파일	文件	派出所	夥伴	判斷
파출소	派出所	夥伴	判斷	銷售
파트너	夥伴	判斷	銷售	賣方
판단	判斷	銷售	賣方	法官
판매	銷售	賣方	法官	手肘
판매자	賣方	法官	手肘	時尚
판사	法官	手肘	時尚	快餐
팔꿈치	手肘	時尚	快餐	呼
패션	時尚	快餐	呼	內褲
패스트푸드	快餐	呼	內褲	頁
팬	呼	內褲	頁	偏見
팬티	內褲	頁	偏見	偏食
퍼센트	百分比	頁	偏見	偏食
퍼지다	散開	出版	寬敞	翻開
퍽	很	安逸	但	一起
페이지	頁	偏見	偏食	方便
펴내다	出版	寬敞	翻開	盛
편	邊	便	新	初
편견	偏見	偏食	方便	評價
