대조	比對	大眾	流行歌	公共交通
대중	大眾	流行歌	公共交通	流行文化
대중가요	流行歌	公共交通	流行文化	對策
대중교통	公共交通	流行文化	對策	對應
대중문화	流行文化	對策	對應	大掃除
대책	對策	對應	大掃除	替代
대처	對應	大掃除	替代	借出
대청소	大掃除	替代	借出	總統
대체	替代	借出	總統	代表
대체로	大致上	大致	況且	越來越
대출	借出	總統	代表	大韓民國
대충	大致	況且	越來越	更
대통령	總統	代表	大韓民國	大型
대표	代表	大韓民國	大型	水庫
대표적	代表的	文化的	物質的	合法的
대하다	面對	背對	弄髒	一起
대한민국	大韓民國	大型	水庫	暑
대형	大型	水庫	暑	美德
댐	水庫	暑	美德	恩惠
더구나	況且	越來越	更	半
더러워지다	弄髒	戲弄	一起	盛
더럽히다	弄髒	一起	盛	貼上
더불다	一起	盛	貼上	蓋
더욱더	越來越	更	半	到底
더욱이	更	半	到底	返回
더위	暑	美德	恩惠	塊
더하다	加上	沒有	過於	大
덕	美德	恩惠	塊	工具
덕택	恩惠	塊	工具	盜竊
덜	半	到底	返回	反倒
덜다	盛	貼上	蓋	蓋上
덧붙이다	貼上	蓋	蓋上	燙傷
덩어리	塊	工具	盜竊	小偷
덮다	蓋	蓋上	燙傷	帶
덮이다	蓋上	燙傷	帶	熱
데	地方	帶	熱	燙
데다	燙傷	帶	熱	燙
데리다	帶	熱	燙	逃走
데우다	熱	燙	逃走	冷
데치다	燙	冷	逃走	收回
