가치	價值	價值觀	天主教	各國
가치관	價值觀	天主教	各國	覺悟
가톨릭	天主教	各國	覺悟	各種
각	每個	四	二	別的
각국	各國	覺悟	各種	味道
각오	覺悟	各種	味道	肝
각자	各自	前天	明天	大部份
각종	各種	味道	肝	間隔
간	味道	肝	間隔	干涉
간	肝	肝	間隔	干涉
간	間	肝	間隔	干涉
간격	間隔	干涉	掛招牌	看護
간섭	干涉	掛招牌	看護	矛盾
간신히	艱辛	越來越	斗膽	顛倒
간절하다	懇切的	癢	簡便	突然
간접적	間接的	感動的	個人的	客觀的
간지럽다	癢	簡便	突然	便宜的
간판	掛招牌	看護	矛盾	口渴
간편하다	簡便	突然	便宜的	粗糙
간호	看護	矛盾	口渴	感覺
간혹	有時	結局	這些	後天
갇히다	被關	換（繃帶）	裂開	包
갈다	換（繃帶）	裂開	包	捂著
갈등	矛盾	口渴	感覺	監督
갈라지다	裂開	包	捂著	隱藏
갈수록	越來越	斗膽	顛倒	僅僅
갈증	口渴	感覺	監督	感動
감각	感覺	監督	感動	欣賞
감다	包	染	拿錢	還
감독	監督	感動	欣賞	感想文
감동	感動	欣賞	感想文	減少
감동적	感動的	個人的	客觀的	經濟的
감상	欣賞	感想文	減少	監視
감상문	感想文	減少	監視	監獄
감소	減少	監視	監獄	感情
감시	監視	監獄	感情	強盜
감싸다	捂著	隱藏	配備	晴
감옥	監獄	感情	強盜	江水
감정	感情	強盜	江水	講師
감추다	隱藏	配備	晴	折
