부정적	否定的	批判的	善於交際的	私人的
부정확	不准確	部族	疏忽	扇子
부족	部族	請託	北邊	麵
부주의	疏忽	扇子	佛	靴子
부지런히	勤奮地	當然	清楚地	才
부채	扇子	佛	靴子	父親
부처	佛	靴子	父親	零件
부츠	靴子	父親	零件	北
부친	父親	零件	北	北美
부품	零件	北	北美	北方
북	北	北美	北方	憤怒
북미	北美	北方	憤怒	分裂
북부	北方	憤怒	分裂	分量
분노	憤怒	分裂	分量	分類
분단	分裂	分量	分類	分離
분량	分量	分類	分離	分析
분류	分類	分離	分析	分寸
분리	分離	分析	分寸	噴泉
분명	當然	清楚地	才	雖然
분명히	清楚地	才	雖然	全部
분석	分析	分寸	噴泉	丟失
분수	分寸	噴泉	丟失	遺失物
분수	噴泉	噴泉	丟失	遺失物
분실	丟失	遺失物	領域	分布
분실물	遺失物	領域	分布	粉筆
분야	領域	分布	粉筆	不能
분포	分布	粉筆	不能	不可能
분필	粉筆	不能	不可能	佛教
불-	不	有	無	勿
불가	不能	不可能	佛教	不規律的
불가능	不可能	佛教	不規律的	不平衡
불가피하다	必然	不滿意	新的	涼爽
불교	佛教	不規律的	不平衡	火花
불구하다	盡管	引起	泡	吹來
불규칙	不規律的	不平衡	火花	不利
불균형	不平衡	火花	不利	不滿意
불꽃	火花	不利	不滿意	火災
불러일으키다	引起	泡	吹來	擠滿
불리	不利	不理	不滿意	非法的
불리다	泡	吹來	擠滿	腫
