여전히	還是	全然	永遠	例如
여쭈다	請教	編	打開	窺看
여행가	遊客	歷史學家	在歷史上	角色
역사가	歷史學家	在歷史上	角色	年
역사상	在歷史上	角色	年	每年
역사적	歷史的	藝術的	肉體的	強制性的
역할	角色	年	每年	軟膏
엮다	編	打開	窺看	談得來
연	年	每年	軟膏	關聯
연간	每年	軟膏	關聯	研究
연고	軟膏	關聯	研究	實驗室
연관	關聯	研究	實驗室	沒闗係
연구	研究	英國	實驗室	研究員
연구소	實驗室	避難所	研究員	研究院
연구실	實驗室	研究員	研究院	辦公室
연구원	研究員	研究院	英國	延期
연구원	研究院	研究院	英國	延期
연구자	研究員	延期	煙氣	演技
연기	延期	煙氣	演技	演員
연기	煙氣	煙氣	演技	演員
연기	演技	煙氣	演技	演員
연기자	演員	年度	淺綠色	年齡
연도	年度	淺綠色	年齡	池塘
연두색	淺綠色	年齡	池塘	薪水
연령	年齡	池塘	薪水	演講
연못	池塘	薪水	演講	連續
연봉	薪水	演講	連續	戀愛
연설	演講	連續	戀愛	戀人
연속	連續	戀愛	戀人	延長
연애	戀愛	戀人	延長	演奏
연인	戀人	延長	演奏	演奏會
연장	延長	演奏	演奏會	逾期
연주	演奏	演奏會	逾期	滯納金
연주회	演奏會	逾期	滯納金	演出
연체	逾期	滯納金	演出	煤球
연체료	滯納金	演出	煤球	聯盟
연출	演出	煤球	聯盟	熱氣
연탄	煤球	聯盟	熱氣	果實
연하다	嫰的	聰明的	正確的	勇敢的
연합	聯盟	熱氣	果實	鑰匙圈
