석유	石油	線	選舉	太陽眼鏡
섞이다	夾雜	激動	成立	數
선	線	選舉	太陽眼鏡	先約
선거	選舉	太陽眼鏡	先約	宣傳
선글라스	太陽眼鏡	先約	宣傳	選定
선약	先約	宣傳	選定	先進
선전	宣傳	選定	先進	先進國
선정	選定	先進	先進國	偏愛
선진	先進	先進國	偏愛	新年
선진국	先進國	偏愛	新年	說服
선호	偏愛	新年	說服	成立
설	新年	說服	成立	說明書
설득	說服	成立	說明書	問卷
설레다	激動	成立	數	吆喝
설립	成立	說明書	問卷	催
설마	恐怕	珍惜	老實說	頻繁地
설명서	說明書	署名	問卷	腹瀉
설문	問卷	聽說	腹瀉	設定
설문지	問卷	腹瀉	設定	安裝
설사	腹瀉	設定	安裝	攝氏
설정	設定	安裝	攝氏	結果
설치	安裝	攝氏	結果	教堂
섭씨	攝氏	結果	教堂	姓名
성공적	成功的	世界的	被動的	瞬間
성과	結果	教堂	姓名	性別
성당	教堂	姓名	性別	成熟
성립	成立	數	吆喝	傳聞
성명	姓名	性別	成熟	誠實
성별	性別	成熟	誠實	成人
성숙	成熟	誠實	成人	生長
성실	誠實	成人	生長	成績單
성인	成人	生長	成績單	脾氣
성장	生長	成績單	脾氣	全球化
성적표	成績單	脾氣	全球化	稅
성질	脾氣	全球化	稅	世紀
세계적	世界的	被動的	瞬間	身體的
세계화	全球化	稅	世紀	時代
세금	稅	世紀	時代	家口，住戶
세기	世紀	時代	家口，住戶	勢力
세다	數	吆喝	傳聞	受騙
