예의	禮儀	禮節	預定	預測
예절	禮節	預定	預測	老故事
예정	預定	預測	老故事	今天
예측	預測	老故事	今天	娛樂
예컨대	例如	永遠	很久很久	專程
옛날이야기	老故事	今天	娛樂	娛樂室
오	喔	我	哎	打擾一下
오가다	談得來	上下	爬上	上
오늘날	今天	娛樂	娛樂室	右腳
오락	娛樂	娛樂室	右腳	右邊
오락실	娛樂室	右腳	右邊	鴨
오래도록	永遠	很久很久	專程	只有
오래오래	很久很久	專程	只有	相當
오랜	很久	全	各種	這
오로지	專程	只有	相當	不知何故
오르내리다	上下	爬上	上	放上
오른발	右腳	右邊	鴨	污染
오른편	右邊	鴨	污染	烏賊
오리	鴨	污染	烏賊	摩托車
오염	污染	烏賊	摩托車	歌劇
오직	只有	相當	不知何故	偶然地
오징어	烏賊	摩托車	歌劇	商務公寓
오토바이	摩托車	歌劇	商務公寓	誤解
오페라	歌劇	商務公寓	誤解	玉米
오피스텔	商務公寓	誤解	玉米	在線的
오해	誤解	玉米	在線的	全身
오히려	相當	不知何故	偶然地	非常
옥수수	玉米	在線的	全身	溫泉
온	全	各種	這	什麼
온갖	各種	這	什麼	這個或那個
온라인	在線的	全身	溫泉	今年三月
온몸	全身	溫泉	今年三月	這個夏天
온종일	一整天	滿腦子	起初	以往
온천	溫泉	今年三月	這個夏天	衣裝
온통	滿腦子	起初	以往	經常
올	今年三月	這個夏天	衣裝	葡萄酒
올라서다	爬上	上	放上	仰望
올라타다	上	放上	仰望	移動
올려놓다	放上	仰望	移動	喊出來
올려다보다	仰望	移動	喊出來	強辯
