소설가	小說家	小說	少數	醬
소설책	小說	少數	醬	香腸
소수	少數	醬	香腸	兒科
소스	醬	香腸	兒科	需要
소시지	香腸	兒科	需要	用處
소아과	兒科	需要	用處	希望
소요	需要	用處	希望	擁有
소용	用處	希望	擁有	噪音
소용없다	沒用	疏忽	受傷	簡單
소원	希望	擁有	噪音	素材
소유	擁有	噪音	素材	隨身物品
소음	噪音	素材	隨身物品	小型
소재	素材	隨身物品	小型	消化
소중히	珍惜	老實說	頻繁地	無數
소지품	隨身物品	小型	消化	睫毛
소형	小型	消化	睫毛	諺語
소홀하다	疏忽	受傷	簡單	誠實的
소화	消化	睫毛	諺語	內心話
속눈썹	睫毛	諺語	內心話	手提包
속다	受騙	欺騙	屬於	牽手
속담	諺語	內心話	手提包	援手
속마음	內心話	手提包	援手	指尖
속상하다	受傷	簡單	誠實的	很多的
속이다	欺騙	屬於	牽手	飛漲
속하다	屬於	牽手	飛漲	低
손가방	手提包	援手	指尖	手背
손길	援手	指尖	手背	手腕
손끝	指尖	手背	手腕	手錶
손등	手背	手腕	手錶	手腳
손목	手腕	手錶	手腳	拍手
손목시계	手錶	手腳	拍手	孫子
손발	手腳	拍手	孫子	扶手
손뼉	拍手	孫子	扶手	修整
손쉽다	簡單	誠實的	很多的	純真
손자	孫子	扶手	修整	指甲
손잡다	牽手	飛漲	低	隱藏
손잡이	扶手	修整	指甲	損害
손질	修整	指甲	損害	手藝
손톱	指甲	損害	手藝	歡送會
손해	損害	手藝	歡送會	小牛
