기념일	紀念日	紀念品	機能	技能
기념품	紀念品	機能	技能	期待
기능	機能	技能	期待	祈禱
기능	技能	技能	期待	祈禱
기다	爬行	靠	傾斜	側（身）
기대	期待	祈禱	基督教	柱子
기대다	靠	傾斜	側（身）	長
기도	祈禱	基督教	柱子	記錄
기독교	基督教	柱子	記錄	基盤
기둥	柱子	記錄	基盤	基本
기록	記錄	基盤	基本	捐贈
기반	基盤	基本	捐贈	技士
기본	基本	捐贈	技士	記者
기본적	基本的	內向的	合乎邏輯的	代表的
기부	捐贈	技士	記者	技術
기사	技士	記者	技術	技術者
기사	記者	記者	技術	技術者
기술	技術	技術者	記憶力	企業
기술자	技術者	記憶力	企業	企業家
기억력	記憶力	企業	企業家	捐䁬
기업	企業	企業家	捐䁬	力氣
기업가	企業家	捐䁬	力氣	起源
기여	捐䁬	力氣	起源	奇蹟
기운	力氣	起源	奇蹟	設施
기울다	傾斜	側（身）	長	剝
기울이다	側（身）	長	剝	剝來吃
기원	起源	奇蹟	設施	基準
기적	奇蹟	設施	基準	活動
기존	設施	基準	活動	基礎
기준	基準	活動	基礎	其他
기지개	活動	基礎	其他	已婚
기초	基礎	其他	已婚	企劃
기타	其他	機會	緊張	道路
기혼	已婚	企劃	氣候	緊急
기획	企劃	氣候	緊急	長袖
기후	氣候	緊急	長袖	路邊
긴급	緊急	長袖	路邊	街上
긴팔	長袖	路邊	街上	熱氣
길가	路邊	街上	熱氣	深度
길거리	街上	熱氣	深度	原因
