비비다	揉	清空	拿...開玩笑	照射
비상	緊急	緊急出口	成本	比喻
비상구	緊急出口	成本	比喻	比率
비용	成本	比喻	比率	簽證
비우다	清空	拿...開玩笑	照射	映射
비웃다	拿...開玩笑	照射	映射	讓出
비유	比喻	比率	簽證	比重
비율	比率	簽證	比重	維他命
비자	簽證	比重	維他命	批評
비중	比重	維他命	批評	飛行
비추다	照射	映射	讓出	搖搖晃晃
비치다	映射	讓出	搖搖晃晃	比較
비키다	讓出	搖搖晃晃	比較	許（願）
비타민	維他命	批評	飛行	機場
비틀거리다	搖搖晃晃	比較	許（願）	梳
비판	批評	飛行	機場	空位
비판적	批判的	善於交際的	私人的	社會的
비하다	比較	許（願）	梳	模具
비행	飛行	機場	空位	梳子
비행장	機場	空位	梳子	下雨的路
빈자리	空位	梳子	下雨的路	雨水
빌다	許（願）	梳	模具	閃耀
빗	梳子	下雨的路	雨水	雨滴
빗길	下雨的路	雨水	雨滴	債務
빗다	梳	模具	閃耀	錯過
빗물	雨水	雨滴	債務	光
빗방울	雨滴	債務	光	顏色
빚	債務	光	顏色	紅色的
빚다	模具	閃耀	錯過	逃出去
빛	光	顏色	紅色的	臉頰
빛깔	顏色	紅色的	臉頰	骨
빛나다	閃耀	錯過	逃出去	逃出來
빠뜨리다	錯過	逃出去	逃出來	掉
빠져나가다	逃出去	逃出來	掉	掉進
빠져나오다	逃出來	掉	掉進	變紅
빠지다	掉	洗	拔	撿
빠짐없이	全部	新買的	彼此	偷偷溜出去
빠트리다	掉進	變紅	吸	摘下
빨강	紅色的	臉頰	骨	吻
빨개지다	變紅	吸	摘下	被搶
