최초	最初	追加	回憶	寒冷的
추가	追加	回憶	寒冷的	推進
추억	回憶	寒冷的	推進	建議
추위	寒冷的	推進	建議	推薦信
추진	推進	建議	推薦信	猜測
추천	建議	推薦信	猜測	足球場
추천서	推薦信	猜測	足球場	減少
추측	猜測	足球場	減少	慶典
축구장	足球場	減少	慶典	出境
축소	減少	慶典	出境	上班的路
축제	慶典	出境	上班的路	生產
출국	出境	上班的路	生產	出身
출근길	上班的路	生產	出身	出演
출산	生產	出身	出演	出版
출신	出身	出演	出版	出現
출연	出演	出版	出現	衝擊
출판	出版	出現	衝擊	建議
출현	出現	衝擊	建議	碰撞
충격	衝擊	建議	碰撞	就業
충격적	衝擊的	基本的	韓國的	合理的
충고	建議	碰撞	就業	失業困難
충돌	碰撞	就業	失業困難	取材
충분히	足夠的	喀喀地	打鼾	砰的一聲
취업	就業	失業困難	取材	愛好
취업난	失業困難	取材	愛好	側面
취재	取材	愛好	側面	治愈法
취하다	喝醉	刮	劃	撒
취향	愛好	側面	治愈法	治療劑
측	方	法	即	初
측면	側面	治愈法	治療劑	尺寸
치다	刮	準備	找出	尋找
치다	劃	準備	找出	尋找
치다	撒	準備	找出	尋找
치료법	治愈法	治療劑	尺寸	起司
치료제	治療劑	尺寸	起司	真正的女兒
치르다	支付	清理	開	拉
치수	尺寸	起司	真正的女兒	真正的兒子
치우다	清理	開	拉	養狗
치즈	起司	真正的女兒	真正的兒子	親生父親
친-	親	新	舊	初
