악몽	惡夢	握手	惡臭	惡化
악수	握手	惡臭	惡化	眼科
악취	惡臭	惡化	眼科	案內書
악화	惡化	眼科	案內書	案內所
안과	眼科	案內書	案內所	案內員
안기다	擁抱	㧓	痛惜	坐
안기다	擁抱	㧓	痛惜	坐
안내서	案內書	案內所	案內員	告示牌
안내소	案內所	案內員	告示牌	內室
안내원	案內員	告示牌	內室	安否
안내판	告示牌	內室	安否	臉色
안되다	不好	知道	告知	打聽
안방	內室	安否	臉色	安心
안부	安否	臉色	安心	眼藥水
안색	臉色	安心	眼藥水	安全帶
안심	安心	眼藥水	安全帶	穩定
안약	眼藥水	安全帶	穩定	下酒菜
안전띠	安全帶	穩定	下酒菜	內外
안정	穩定	下酒菜	內外	蛋
안주	下酒菜	內外	蛋	過敏
안타까워하다	痛惜	坐	不	已知
안타깝다	遺憾	充實	淘氣	淺的
안팎	內外	蛋	過敏	癌症
앉히다	坐	不	已知	找出
않다	不	已知	找出	理解
알	蛋	過敏	癌症	記憶
알레르기	過敏	癌症	記憶	壓力
알려지다	已知	找出	理解	猜中
알아내다	找出	理解	猜中	了解
알아듣다	理解	猜中	了解	生病
알아맞히다	猜中	了解	生病	逼近
알아주다	了解	生病	逼近	先於
알차다	充實	淘氣	淺的	愚蠢的
앓다	生病	逼近	先於	使-先行
암	癌症	記憶	壓力	前面的路
암기	記憶	壓力	前面的路	未來
압력	壓力	前面的路	未來	前後
앗	哦	哇	啊	老公
앞길	前面的路	未來	前後	瀏海
앞날	未來	前後	瀏海	近海
