쓸데없이	不必要的	不	也許	不管再怎麼
쓸쓸하다	寂寞	勇敢的	不是	美
씌우다	戴上	沖刷	洗	坐
씨	種子	摔角	火	早晨
씨름	摔角	種子	早晨	夏天
씨앗	種子	早晨	夏天	零
씩씩하다	勇敢的	不是	美	哪裡也
씻기다	沖刷	洗	坐	來
씻기다	洗	洗	坐	來
자	尺	打擾一下	這樣的	每個
자	哎	打擾一下	這樣的	每個
자가용	自己的車	資格	證書	刺激
자격	資格	證書	刺激	孩子們
자격증	證書	刺激	孩子們	自動的
자극	刺激	孩子們	自動的	資料
자기	自己	橫向	各自	前天
자꾸만	一直打擾	自然	滿滿地	迅速地
자녀	孩子們	自動的	資料	被子
자동	自動的	資料	被子	字幕
자라나다	長大	砍	富裕	鎖
자랑스럽다	自豪的	仔細	自然的	自由
자료	資料	被子	字幕	姐妹
자리	被子	孩子	自己	自由
자막	字幕	姐妹	資本	自豪
자매	姐妹	資本	自豪	自殺
자본	資本	自豪	自殺	姿勢
자부심	自豪	自殺	姿勢	自信
자살	自殺	姿勢	自信	自信感
자세	姿勢	自信	自信感	自然環境
자세하다	仔細	自然的	自由	很好
자신	自信	自由	炸醬麵	自行車
자신감	自信感	自然環境	資源	自尊心
자연스럽다	自然的	自由	很好	壯
자연적	自然的	長期	積極的	全國
자연환경	自然環境	資源	自尊心	朱紫色
자연히	自然	滿滿地	迅速地	那裡
자원	資源	自尊心	朱紫色	自炊
자유롭다	自由	很好	壯	低廉
자존심	自尊心	朱紫色	自炊	作家
자주색	朱紫色	自炊	作家	作曲
