학비	學費	學習	學用品	學者
학습	學習	學用品	學者	恨
학용품	學用品	學者	恨	遺憾
학자	學者	恨	遺憾	中間
한	恨	一個或兩個	舊	間接的
한	遺憾	一個或兩個	舊	間接的
한가운데	中間	隆冬	界限	韓國話
한겨울	隆冬	界限	韓國話	春天
한결	更	一次	一層	隨便
한계	界限	自由	航空	韓國人
한국말	韓國話	日本語	韓國人	正午
한국어	韓國話	韓國人	正午	一目
한국인	韓國人	正午	一目	一陣子
한국적	韓國的	合理的	現代的	實際的
한꺼번에	一次	一層	隨便	哈哈
한낮	正午	一目	一陣子	一句話
한눈	一目	一陣子	一句話	漢文
한동안	一陣子	一句話	漢文	午夜
한둘	一兩個	這小孩（그 아이) 的略語	即便如此	이 아이 的縮語
한때	一段時期	很久	正	一邊
한마디	一句話	漢文	午夜	一會兒
한문	漢文	午夜	一會兒	嘆
한밤중	午夜	一會兒	嘆	盛夏
한순간	一會兒	嘆	盛夏	漢字
한숨	嘆	盛夏	漢字	一邊
한여름	盛夏	漢字	一邊	分期
한자	漢字	一邊	分期	打折商店
한쪽	一邊	分期	打折商店	合格
한참	很久	正	一邊	你好
한창	正	一邊	你好	滿
한층	一層	隨便	哈哈	或許
한편	一邊	你好	滿	前
할부	分期	打折商店	合格	合格者
할인점	打折商店	合格	合格者	合計
함부로	隨便	哈哈	或許	突然
합격	合格	合格者	合計	協議
합격자	合格者	合計	協議	機票價
합계	合計	協議	機票價	航班
합리적	合理的	現代的	實際的	幻想的
합의	協議	機票價	航班	抗議
