빨다	吸	快	拔	送回
빼놓다	摘下	放手	被搶	搶
빼앗기다	被搶	犯	搶	長出
빼앗다	被搶	搶	長出	被拔
뺏다	搶	長出	被拔	灑落
뺨	臉頰	骨	吻	根
뻗다	長出	被拔	灑落	甩開
뼈	骨	吻	根	四月
뽀뽀	吻	根	四月	三月
뽑히다	被拔	灑落	甩開	扭傷
뿌리	根	四月	三月	星期三
뿌리다	灑落	甩開	扭傷	交
뿌리치다	甩開	扭傷	交	買
삐다	扭傷	交	買	住
사건	事件	思維方式	道歉	詐欺
사고방식	思維方式	道歉	詐欺	男子漢
사과	道歉	人	愛情	辦公室
사교적	善於交際的	私人的	社會的	相對的
사기	詐欺	購買	男子漢	打獵
사나이	男子漢	媳婦	打獵	實例
사내	男子漢	打獵	實例	私立
사냥	打獵	實例	私立	沙漠
사들이다	買	消失	捉住	簽名
사라지다	消失	捉住	簽名	救
사랑스럽다	迷人的	瑣碎的	相處	無闗的
사례	實例	私立	沙漠	死的
사로잡다	捉住	簽名	救	過日子
사립	私立	沙漠	死的	事務
사막	沙漠	死的	事務	事務所
사망	死的	事務	事務所	技術職
사무	事務	事務所	技術職	事物
사무소	事務所	技術職	事物	四處
사무직	技術職	事物	四處	史上
사물	事物	四處	史上	私生活
사방	四處	史上	私生活	社論
사상	史上	私生活	社論	企業家
사생활	私生活	社論	企業家	營業
사설	社論	企業家	營業	事情原委
사소하다	瑣碎的	相處	無闗的	相當
사업가	企業家	營業	事情原委	使用費
