줄무늬	條紋	僧人	中古	二手車
줄어들다	減少	嘟嘟囔囔 ，喃喃自语	握	攜帶
중	僧人	中古	二手車	二手貨
중고	中古	二手車	二手貨	中文
중고차	二手車	二手貨	中文	中國人
중고품	二手貨	中文	中國人	中級
중국어	中文	中國人	中級	停止
중국인	中國人	中級	停止	中毒
중급	中級	停止	中毒	中期
중단	停止	中毒	中期	中部
중독	中毒	中期	中部	中小企業
중반	中期	中部	中小企業	中心
중부	中部	中小企業	中心	中式
중소기업	中小企業	中心	中式	中國
중순	中心	中式	忠誠	重要性
중식	中式	中心	重要性	中型車
중심지	中心	重要性	中型車	老鼠
중얼거리다	嘟嘟囔囔 ，喃喃自语	握	攜帶	日落
중요성	重要性	中型車	老鼠	立即的
중형차	中型車	老鼠	立即的	立即地
쥐	老鼠	立即的	立即地	喜悅
쥐다	握	攜帶	日落	背
즉	再	極其	迄今為止	哧地 (笔直地划线貌)
즉석	立即的	立即地	喜悅	增加
즉시	立即地	喜悅	增加	證據
즐거움	喜悅	增加	證據	證明
증가	增加	證據	證明	證書
증거	證據	證明	證書	症狀
증명	證明	證書	症狀	正確
증명서	證書	證據	症狀	懂事
증상	症狀	健康	懂事	地球
증세	症狀	懂事	地球	利息
지각	懂事	錢包	上次	上個星期
지겹다	無聊的	骯髒的	聰慧	真正
지구	地球	利息	過往	智力
지극히	極其	迄今為止	哧地 (笔直地划线貌)	真
지금껏	迄今為止	哧地 (笔直地划线貌)	真	慢慢
지급	利息	過往	智力	指導
지나치다	過於	大	-種	一個
지난날	過往	智力	指導	指導者
