클럽	俱樂部	鑰匙	吻	星期六
키	鑰匙	間	活動	切
키스	吻	星期六	桌球	糖醋肉
타고나다	先天	領（薪水）	禁不住	燃燒
타다	領（薪水）	搭	沖	誕生
타다	禁不住	搭	沖	誕生
타오르다	燃燒	沾上	燒傷	選擇
타인	他人	桌子	出生	逃生
탁자	桌子	出生	逃生	塔
탄생	出生	逃生	塔	登機
탈출	逃生	塔	登機	乘客
탑	塔	登機	乘客	太陽
탑승	登機	乘客	太陽	演員
탑승객	乘客	太陽	演員	隧道
태양	太陽	演員	隧道	下巴
태우다	燒傷	慢慢地	選擇	爆裂
태우다	燒傷	慢慢地	選擇	爆裂
택하다	選擇	爆裂	爆炸	抖
탤런트	演員	隧道	下巴	毛
터널	隧道	下巴	毛	測試
터뜨리다	爆裂	爆炸	抖	嘔吐
터지다	爆炸	抖	嘔吐	透
턱	下巴	毛	測試	緞帶
털	毛	測試	緞帶	土：星期六
털다	抖	嘔吐	透	賣
텅	空蕩蕩	完全	定局	抽空
테스트	測試	緞帶	土：星期六	討論
테이프	緞帶	土：星期六	討論	膠帶
토	土：星期六	水	討論	桶子
토론	討論	討教	桶子	統計數據
토의	討論	桶子	統計數據	通過
토하다	嘔吐	透	賣	通過
통	完全	定局	抽空	熟睡
통	桶子	定局	抽空	熟睡
통계	統計數據	通過	通信	翻譯
통과	通過	通信	翻譯	統一
통신	通信	翻譯	統一	疼痛
통역	翻譯	統一	疼痛	通行
통일	統一	疼痛	通行	退休
통증	疼痛	通行	退休	投資
