올바르다	正確的	勇敢的	有趣的	優雅的
올여름	這個夏天	衣裝	葡萄酒	完美
옮기다	移動	喊出來	強辯	響
옷차림	衣裝	葡萄酒	完美	完成
와인	葡萄酒	完美	完成	非常
완벽	完美	完成	非常	往返
완성	完成	非常	往返	外婆家
완전	非常	往返	外婆家	很少
왕복	往返	外部	外婆家	手術
왠지	不知何故	偶然地	非常	異常地
외	之外	-星期	點	每週
외가	外婆家	外表	手術	外交
외갓집	外婆家	手術	外交	外交官
외과	手術	外交	外交官	寂寞
외교	外交	外交官	寂寞	回避
외교관	外交官	寂寞	回避	外貌
외로움	寂寞	回避	外貌	外宿
외면	回避	外貌	外宿	外部
외모	外貌	外宿	外部	叔叔
외박	外宿	外部	叔叔	姨媽
외부	外部	叔叔	姨媽	外出就餐
외삼촌	叔叔	姨媽	外出就餐	獨子
외숙모	姨媽	外出就餐	獨子	外出服
외식	外出就餐	獨子	外出服	大衣
외아들	獨子	外出服	大衣	外婆
외출복	外出服	大衣	外婆	外公
외치다	喊出來	強辯	響	弄哭
외투	大衣	外婆	外公	左腳
외할머니	外婆	外公	左腳	左邊
외할아버지	外公	左腳	左邊	墊被
왼발	左腳	左邊	墊被	瑜伽
왼편	左邊	墊被	瑜伽	要求
요	墊被	什麼	這個或那個	那樣
요	這	什麼	這個或那個	那樣
요가	瑜伽	要求	優酪	料理法
요구	要求	優酪	料理法	這些日子
요구르트	優酪	料理法	這些日子	元素
요리법	料理法	這些日子	元素	概括
요새	這些日子	元素	概括	因素
요소	元素	概括	因素	這些日子
