얼룩	污漬	有些	嚴格	行業
얼른	匆忙	沒有	非	還是
얼리다	凍結	背	刪除	用完
얼마간	有些	嚴格	行業	任務
엄격	嚴格	行業	任務	成就
엄숙하다	莊嚴	很大	不合體	寬鬆
엄청나다	很大	不合體	寬鬆	嫰的
업계	行業	任務	成就	公司
업다	背	刪除	用完	趴著
업무	任務	成就	公司	混亂
업적	成就	公司	混亂	無道理
업체	公司	混亂	無道理	活力
없애다	刪除	用完	趴著	視為
없어지다	用完	趴著	視為	請教
없이	沒有	非	還是	全然
엉뚱하다	不合體	寬鬆	嫰的	聰明的
엉망	混亂	無道理	活力	自動扶梯
엉터리	無道理	活力	自動扶梯	女性
엊그제	昨天	一整天	滿腦子	起初
엎드리다	趴著	視為	請教	編
에너지	活力	自動扶梯	女性	閒暇
에스컬레이터	自動扶梯	女性	閒暇	環境
여	女性	閒暇	環境	女高
여가	閒暇	環境	女高	汽車旅館
여간	非	還是	全然	永遠
여건	環境	女高	汽車旅館	粉刺
여고	女高	汽車旅館	粉刺	許多
여관	汽車旅館	粉刺	許多	夏令
여기다	視為	請教	編	打開
여덟째	第八	第六	第十天	第七天
여드름	粉刺	許多	夏令	暑假
여럿	許多	夏令	暑假	無論
여름철	夏令	暑假	無論	餘裕
여름휴가	暑假	無論	餘裕	女士
여보	老公	喔	我	哎
여부	無論	餘裕	女士	遊客
여섯째	第六	第十天	第七天	第一
여유	餘裕	女士	遊客	歷史學家
여유롭다	寬鬆	嫰的	聰明的	正確的
여인	女士	遊客	歷史學家	在歷史上
