일부분	一部份	日常	日常生活	一生
일상	日常	日常生活	一生	一石二鳥
일상생활	日常生活	一生	一石二鳥	人手
일상적	常規	暫時的	自然的	長期
일생	一生	一石二鳥	人手	日期
일석이조	一石二鳥	人手	日期	一次付清
일손	人手	日期	一次付清	日語
일시	日期	一次付清	日語	工作
일시불	一次付清	日語	工作	一定
일시적	暫時的	自然的	長期	積極的
일쑤	經常	一切	自然	全部
일어	日語	工作	一定	日程
일으키다	起身	被讀	謮	穿上
일일이	逐個	提早地	一直	清楚地
일자리	工作	一定	日程	日程表
일정	一定	日程	日程表	一種
일정	日程	日程	日程表	一種
일정표	日程表	一種	日出	一致
일종	一種	日出	一致	一行人
일찍이	提早地	一直	清楚地	經常
일체	一切	自然	全部	真的
일출	日出	一致	一行人	一次性的
일치	一致	一行人	一次性的	一直
일행	一行人	一回	一次性的	閱讀
일회용	一次性的	立刻	閱讀	工資
일회용품	一次性的	閱讀	工資	使命
읽기	閱讀	工資	使命	暫時的
읽히다	被讀	謮	穿上	接上
읽히다	謮	謮	穿上	接上
임금	工資	使命	暫時的	孕
임무	使命	暫時的	孕	入口
임시	暫時的	孕	入口	存錢
임신	孕	入口	存錢	入伍
입국	入口	存錢	入伍	輸入
입금	存錢	入伍	輸入	胃口
입대	入伍	輸入	胃口	入社
입력	輸入	胃口	入社	入學考試
입맛	胃口	入社	入學考試	入場
입사	入社	入學考試	入場	立場
입시	入學考試	入場	立場	入場費
