청혼	求婚	體系	體力	體面
체계	體系	體力	體面	體溫
체력	體力	體面	體溫	體操
체면	體面	體溫	體操	重量
체온	體溫	體操	重量	體驗
체조	體操	重量	體驗	初秋
체중	重量	體驗	初秋	初冬
체하다	積	喝醉	刮	劃
체험	體驗	初秋	初冬	初學者
초-	初	大	小	新
초가을	初秋	初冬	初學者	早期的
초겨울	初冬	初學者	早期的	綠色
초급	初學者	早期的	綠色	開局
초기	早期的	綠色	開局	初學者
초록	綠色	開局	初學者	黃色
초반	開局	開心	初學者	早春
초보	初學者	中級	早春	新月
초보자	初學者	早春	新月	初夏
초봄	早春	新月	初夏	傍晚
초승달	新月	初夏	傍晚	重點
초여름	初夏	傍晚	重點	煩惱
초저녁	傍晚	重點	煩惱	邀請
초점	重點	煩惱	邀請	請帖
초조	煩惱	邀請	請帖	槍
초청	邀請	請帖	槍	總理
초청장	請帖	槍	總理	拍攝
촌스럽다	土裡土氣	黑暗	大的	令人愉快的
총	槍	一位	一個或兩個	舊
총	總	一位	一個或兩個	舊
총리	總理	拍攝	頂級	最大
촬영	拍攝	頂級	最大	最好的
최고급	頂級	最大	最好的	最少
최대	最大	最好的	最少	最新
최대한	最大的	最少	一次	現在的
최선	最好的	最少	最新	最低
최소	最少	最新	最低	最終的
최소한	最少	一次	現在的	逐個
최신	最新	最低	最終的	最初
최저	最低	最終的	最初	追加
최종	最終的	最初	追加	回憶
