전자	電子的	微波爐	電子詞典	戰爭
전자레인지	微波爐	電子詞典	戰爭	前提
전자사전	電子詞典	戰爭	前提	承接傳統
전쟁	戰爭	前提	承接傳統	前後
전제	前提	承接傳統	前後	廟
전체적	全體的	傳統的	絕對的	定期
전통	承接傳統	前後	廟	禮
전통적	傳統的	絕對的	定期	正常的
전후	前後	廟	禮	節
절	廟	禮	節	絕望
절	禮	禮	節	絕望
절	節	禮	節	絕望
절대	絕對	逐步地	實際上	最大的
절대로	絕對	真的	確切地	如願地
절대적	絕對的	定期	正常的	精神的
절망	絕望	一半	保存	手續
절반	一半	保存	手續	年輕人
절약	保存	手續	年輕人	青春
절차	手續	年輕人	青春	檢驗
젊은이	年輕人	青春	檢驗	店員
젊음	青春	檢驗	店員	夾克
점	點	每週	光圈	四
점검	檢驗	店員	夾克	接近
점원	店員	夾克	接近	連接
점잖다	文雅的	忙於	小的	當心
점차	逐步地	實際上	最大的	最少
점퍼	夾克	接近	連接	接受
접근	接近	連接	接受	接觸
접속	連接	接受	接觸	感情
접수	接受	接觸	感情	定期
접어들다	進入	接到	攪	纏
접촉	接觸	感情	定期	正確答案
접하다	接到	攪	纏	縮小
젓다	攪	纏	縮小	交談
정	感情	定期	正確答案	政黨
정기	定期	正確答案	政黨	正面
정기적	定期	正常的	精神的	政治的
정답	正確答案	政黨	正面	完全相反
정당	政黨	正面	完全相反	信息
정말로	真的	確切地	如願地	請
