사업자	營業	事情原委	使用費	使用法
사연	事情原委	使用費	使用法	用戶
사용료	使用費	使用法	用戶	桑拿
사용법	使用法	用戶	桑拿	四周圍
사용자	用戶	桑拿	四周圍	網路
사우나	桑拿	四周圍	網路	網站
사위	四周圍	網路	網站	獅子
사이버	網路	網站	獅子	字典
사이좋다	相處	無闗的	相當	暢快
사이트	網站	獅子	字典	事前
사인	簽名	救	過日子	活過來
사자	獅子	字典	事前	情況
사적	私人的	社會的	相對的	成功的
사전	字典	照片	糖果	三天
사전	事前	照片	糖果	三天
사정	情況	照相館	相片集	表
사진관	照相館	相片集	表	青春期
사진첩	相片集	表	青春期	事態
사촌	表	青春期	事態	方言
사춘기	青春期	事態	方言	辭呈
사태	事態	方言	辭呈	事項
사투리	方言	辭呈	事項	社會
사표	辭呈	事項	社會	社會生活
사항	事項	社會	社會生活	主持人
사회	社會	社會生活	主持人	刪除
사회생활	社會生活	主持人	刪除	山路
사회자	主持人	刪除	山路	山頂
사회적	社會的	相對的	成功的	世界的
삭제	刪除	山路	山頂	森林火災
산길	山路	山頂	森林火災	在群山中
산꼭대기	山頂	森林火災	在群山中	產業
산불	森林火災	在群山中	產業	成家
산속	在群山中	產業	成家	謀殺
산업	產業	成家	謀殺	生活
살리다	救	過日子	活過來	存活
살림	成家	謀殺	生活	獎
살아가다	過日子	活過來	存活	活下來
살아나다	活過來	存活	活下來	變胖
살아남다	存活	活下來	變胖	查看
살아오다	活下來	變胖	查看	死亡
