앞두다	逼近	先於	使-先行	帶頭
앞뒤	前後	瀏海	近海	前邊人家
앞머리	瀏海	近海	前邊人家	操心
앞바다	近海	前邊人家	操心	嬰兒
앞서	之前	喵	遲早	突然
앞서다	先於	使-先行	帶頭	費心
앞세우다	使-先行	帶頭	費心	偏離
앞장서다	帶頭	費心	偏離	違反
앞집	前邊人家	操心	嬰兒	寵物
애	操心	情人	相冊	棒球
애기	嬰兒	寵物	感情	配飾
애쓰다	費心	偏離	違反	畏懼
애완동물	寵物	感情	配飾	數量
애정	感情	配飾	數量	相框
액세서리	配飾	數量	相框	夜間
액수	數量	相框	夜間	夜景
액자	相框	夜間	夜景	夜班
야간	夜間	夜景	夜班	罵
야경	夜景	夜班	罵	戶外
야근	夜班	罵	戶外	簡圖
야단	罵	戶外	簡圖	弱點
야옹	喵	遲早	突然	還是
야외	戶外	簡圖	弱點	藥物
야하다	淘氣	淺的	愚蠢的	很尷尬
약도	簡圖	弱點	藥物	訂婚
약점	弱點	藥物	訂婚	未婚妻
약품	藥物	訂婚	未婚妻	未婚夫
약혼	訂婚	未婚妻	未婚夫	端莊
약혼녀	未婚妻	未婚夫	端莊	羊
약혼자	未婚夫	端莊	羊	量
얌전	端莊	羊	量	兩國
양	羊	很久	全	各種
양	兩	很久	全	各種
양	量	很久	全	各種
양국	兩國	調味料	陽曆	高麗菜
양념	調味料	陽曆	高麗菜	讓步
양력	陽曆	高麗菜	讓步	陽傘
양배추	高麗菜	讓步	陽傘	形式
양보	讓步	陽傘	形式	良心
양산	陽傘	形式	良心	兩旁
