고급	高級	古代	孤獨	高等
고급스럽다	豪華	香	痛苦的	筆直
고대	古代	孤獨	高等	青花魚
고독	孤獨	高等	青花魚	鯨魚
고등	高等	青花魚	鯨魚	考慮
고등어	青花魚	鯨魚	考慮	橡膠
고래	鯨魚	考慮	橡膠	表白
고려	考慮	橡膠	表白	艱辛
고마워하다	謝謝	打呼	乘	折磨
고무	橡膠	表白	艱辛	高速
고백	表白	艱辛	高速	寂靜
고생	艱辛	高速	寂靜	傳統
고소하다	香	痛苦的	筆直	美
고속	高速	寂靜	傳統	家鄉
고요	寂靜	傳統	家鄉	古典
고유	傳統	家鄉	古典	固定
고장	家鄉	辣椒醬	故鄉	-地方
고전	古典	固定	固執	辣椒
고정	固定	固執	辣椒	辣椒粉
고집	固執	辣椒	辣椒粉	高樓大廈
고추	辣椒	辣椒粉	高樓大廈	苦痛
고춧가루	辣椒粉	高樓大廈	苦痛	曲
고층	高樓大廈	苦痛	曲	糧食
고통	苦痛	曲	糧食	困難
고통스럽다	痛苦的	筆直	美	恭敬的
곡	曲	糧食	困難	球
곡식	糧食	困難	球	巷子
곤란	困難	球	巷子	簡單
곧다	筆直	美	恭敬的	沒闗係
곧바로	馬上	緊接著	經常	很少
곧이어	緊接著	經常	馬上	均衡
곧잘	經常	馬上	均衡	果然
곧장	馬上	均衡	果然	無闗
골	球	馬上	巷子	高爾夫
골고루	均衡	果然	無闗	白白地
골다	打呼	乘	折磨	滾
골목	巷子	大馬路	高爾夫	熊
골목길	巷子	高爾夫	熊	各地
골프	高爾夫	熊	各地	零
곰	熊	各地	零	空間
