수요	需求	接受	收入	輸入
수용	接受	收入	輸入	輸入品
수입	收入	輸入	輸入品	更正
수입	輸入	輸入	輸入品	更正
수입품	輸入品	更正	等級	收藏
수정	更正	等級	收藏	輸出
수준	等級	收藏	輸出	支票
수집	收藏	輸出	支票	數學
수천	幾千名	億	八	八十
수출	輸出	支票	數學	履行
수표	支票	數學	履行	淑女
수학	數學	履行	淑女	住宿
수행	履行	淑女	住宿	房錢
숙녀	淑女	住宿	房錢	少年
숙박	住宿	房錢	租	片刻
숙박비	房錢	住宿	片刻	瞬間
숙소	住宿	片刻	瞬間	排行
숙이다	低	隱藏	躲	喪生
순간	片刻	瞬間	排行	酒瓶
순간적	瞬間	身體的	有用	心理
순수하다	純真	孤獨	溫和的	潮濕
순식간	瞬間	排行	酒瓶	酒會
순위	排行	酒瓶	酒會	酒杯
순진하다	純真	溫和的	潮濕	驚人的
순하다	溫和的	潮濕	驚人的	嚴重
술병	酒瓶	酒會	酒杯	呼吸
술자리	酒會	酒杯	呼吸	碗
술잔	酒杯	受傷	呼吸	樹林
숨	呼吸	生命	樹林	超市
숨기다	隱藏	躲	喪生	啞
숨다	躲	喪生	啞	擦過
숨소리	呼吸	樹林	超市	師父
숨지다	喪生	啞	擦過	折磨
숲	樹林	超市	師父	開關
쉬다	啞	喘息	悲傷	安排
쉿	噓	不是	啊	好
슈퍼	超市	師父	開關	短裙
스님	師父	開關	短裙	行程
스무째	第二十天	第九	第八	第六
스위치	開關	短裙	行程	風格
