스치다	擦過	折磨	枯萎	嫁去
스커트	短裙	行程	風格	絲襪
스케줄	行程	風格	絲襪	工作室
스타일	風格	絲襪	工作室	拖鞋
스타킹	絲襪	工作室	拖鞋	濕度
스튜디오	工作室	拖鞋	濕度	工人
슬리퍼	拖鞋	視力	濕度	乘客
슬쩍	迅速地	實際上	事實上	狠狠地
습기	濕度	溫度	乘客	承諾
습도	濕度	乘客	承諾	勝利
습하다	潮濕	驚人的	嚴重	新鮮的
승객	乘客	承諾	勝利	空中小姐
승낙	承諾	勝利	空中小姐	車
승리	勝利	空中小姐	車	晉升
승무원	空中小姐	車	晉升	乘車
승용차	車	晉升	乘車	車票
승진	晉升	乘車	車票	成敗
승차	乘車	車票	成敗	詩
승차권	車票	成敗	詩	時間
승패	成敗	詩	時間	視角
시	詩	時程表	鐘	鄉下
시각	時間	視角	菠菜	時期
시각	視角	視角	菠菜	時期
시금치	菠菜	時期	城市公交車	時代
시기	時期	城市公交車	時代	公婆家
시내버스	城市公交車	時代	公婆家	嘗試
시달리다	折磨	枯萎	嫁去	冷了
시대	時代	公婆家	嘗試	光碟片
시댁	公婆家	嘗試	光碟片	視力
시도	嘗試	光碟片	視力	系列
시들다	枯萎	嫁去	冷了	興奮的
시디	光碟片	視力	系列	水泥
시력	視力	系列	水泥	公婆
시리즈	系列	水泥	公婆	視線
시멘트	水泥	公婆	視線	設施
시부모	公婆	視線	設施	系統
시선	視線	設施	系統	岳父
시설	設施	系統	岳父	視野
시스템	系統	岳父	視野	市外
시아버지	岳父	視野	市外	城際巴士
