군사	軍事	洞穴	跟	權力
굳어지다	變硬	餓	彎	建議
굳이	執意	還	不怎麼	勉強
굴	洞穴	跟	權力	權利
굶다	餓	彎	建議	這樣
굽	跟	權力	權利	權威
굽히다	彎	建議	這樣	停止
권력	權力	權利	權威	勸誘
권리	權利	權威	勸誘	回家
권위	權威	勸誘	回家	回國
권유	勸誘	回家	回國	鬼
권하다	建議	這樣	停止	粗
귀가	回家	回國	鬼	規模
귀국	回國	鬼	規模	規則
귀신	鬼	規模	規則	平衡
귀중하다	貴重的	高貴	苛刻	乾淨
귀하	閣下	家	本人名義	自己
귀하다	高貴	苛刻	乾淨	黑暗
규모	規模	規則	平衡	秋千
규정	規則	平衡	秋千	陰影
규칙적	規律的	根本的	積極的	基本的
균형	平衡	秋千	陰影	圖
그나마	還	不怎麼	勉強	還算
그네	秋千	陰影	圖	小組
그녀	她	你	我	我們
그늘	陰影	圖	小組	渴望
그다지	不怎麼	勉強	還算	那裡
그대	你	我	他	你們
그래도	即便如此	이 아이 的縮語	該怎麼辦	所以
그래프	圖	小組	渴望	陰影
그램	-公克			
그러게	是啊	哇	比較	各國
그러다	這樣	停止	粗	禁止
그럭저럭	勉強	還算	那裡	簡直
그런대로	還算	那裡	簡直	只是
그렇지	是啊	是的	什麼	噓
그룹	小組	渴望	陰影	圖畫書
그리	那裡	簡直	只是	就在此刻
그리움	渴望	陰影	圖畫書	之中
그림자	陰影	圖畫書	之中	克服
