감히	斗膽	顛倒	僅僅	絕對
갑작스럽다	突然	便宜的	粗糙	擔心
값싸다	便宜的	粗糙	擔心	黑色的
강도	強盜	江水	講師	降水量
강물	江水	講師	降水量	要求
강사	講師	降水量	要求	講課
강수량	降水量	要求	講課	教室
강요	要求	講課	教室	強制
강의	講課	教室	強制	強調
강의실	教室	強制	強調	各種
강제	強制	強調	各種	青蛙
강조	強調	各種	青蛙	迎春花
갖가지	各種	青蛙	迎春花	概念
갖추다	配備	晴	折	收
개구리	青蛙	迎春花	概念	螞蟻
개나리	迎春花	概念	螞蟻	開發
개념	概念	螞蟻	開發	開放
개다	晴	折	收	幫忙
개다	折	折	收	幫忙
개미	螞蟻	開發	開放	個別
개발	開發	開放	個別	改善
개방	開放	個別	改善	個性
개별	個別	改善	個性	個人
개선	改善	個性	個人	舉辦
개성	個性	個人	舉辦	改革
개인	個人	舉辦	改革	巨大
개인적	個人的	客觀的	經濟的	經濟學
개최	舉辦	改革	巨大	買賣
개혁	改革	巨大	買賣	交易方
객관적	客觀的	經濟的	經濟學	功績
걔	這小孩（그 아이) 的略語	即便如此	이 아이 的縮語	該怎麼辦
거꾸로	顛倒	僅僅	絕對	馬上
거대	巨大	買賣	交易方	蜘蛛
거두다	收	幫忙	經過	交錢
거들다	幫忙	經過	交錢	遞過去
거래	買賣	交易方	蜘蛛	龜
거래처	交易方	蜘蛛	龜	找回的零錢
거미	蜘蛛	龜	找回的零錢	乞丐
거북이	龜	找回的零錢	乞丐	假
거스름돈	找回的零錢	乞丐	假	泡沫
