도구	工具	盜竊	小偷	砧板
도난	盜竊	小偷	砧板	逃脫
도대체	到底	返回	反倒	怎麼也
도둑	小偷	砧板	逃脫	圖書
도로	返回	反倒	怎麼也	實在
도리어	反倒	怎麼也	實在	非常
도마	砧板	逃脫	圖書	便當盒
도망	逃脫	圖書	便當盒	市中心
도망가다	逃走	謀生	收回	退回
도망치다	逃走	收回	退回	照顧
도무지	怎麼也	實在	非常	盡量
도서	圖書	便當盒	市中心	導入
도시락	便當盒	市中心	導入	陶瓷製品
도심	市中心	導入	陶瓷製品	印章
도입	導入	陶瓷製品	印章	挑戰
도자기	陶瓷製品	印章	挑戰	途中
도장	印章	挑戰	途中	毒
도저히	實在	非常	盡量	所以
도전	挑戰	途中	毒	流感
도중	途中	毒	流感	獨立
독	毒	流感	獨立	獨身者
독감	流感	獨立	獨身者	德語
독립	獨立	獨身者	德語	讀者
독신자	獨身者	德語	讀者	小石頭
독일어	德語	讀者	小石頭	東
독자	讀者	小石頭	東	區
독특하다	獨特的	烈	圓形的	害怕的
독하다	烈	圓形的	害怕的	淡
돌	石頭	小鎮	東大門	動物
돌려받다	收回	退回	照顧	逛
돌려보내다	退回	照顧	逛	回頭看
돌멩이	小石頭	東	區	圓圈
돌보다	照顧	逛	回頭看	改變
돌아다니다	逛	回頭看	改變	倒流
돌아보다	回頭看	改變	倒流	返回
돌아서다	改變	倒流	返回	被退回
동	東	區	圓圈	同期生
동	區	區	圓圈	同期生
동그라미	圓圈	同期生	動機	東南亞
동그랗다	圓形的	害怕的	方形的	遲來
