운반	搬運	營運	司機	駕駛執照
운영	營運	司機	駕駛執照	運行
운전기사	司機	駕駛執照	運行	哭聲
운전면허	駕駛執照	運行	哭聲	動靜
운행	運行	哭聲	動靜	長輩
울리다	響	弄哭	逗笑	為了
울리다	弄哭	弄哭	逗笑	為了
울음소리	哭聲	動靜	長輩	笑聲
움직임	動靜	長輩	笑聲	圓
웃기다	逗笑	為了	帶領	像這樣
웃어른	長輩	笑聲	圓	套房
웃음소리	笑聲	圓	套房	原理
워낙	非常	異常地	馬上	像這樣
원	圓	套房	原理	申請書
원래	起初	以往	經常	一切
원룸	套房	原理	申請書	猴
원리	原理	申請書	猴	原因
원만하다	隨和的	尚可	偉大	流利
원서	申請書	猴	原因	原則
원숭이	猴	原因	原則	月：星期一
원인	原因	原則	月：星期一	世界杯
원칙	原則	月：星期一	世界杯	月底
월	月：星期一	世界杯	月底	月租
월드컵	世界杯	月底	月租	為何
월말	月底	月租	為何	危險
월세	月租	為何	危險	慰勞
웬	什麼	這個或那個	那樣	全
웬만하다	尚可	偉大	流利	幼稚
웬일	為何	危險	慰勞	違反
위	-位	下面	位置	危險
위기	危險	慰勞	違反	上下
위대하다	偉大	流利	幼稚	有利
위로	慰勞	違反	上下	委員會
위반	違反	上下	委員會	樓上
위아래	上下	委員會	樓上	危險性
위원회	委員會	樓上	危險性	威脅
위층	樓上	危險性	威脅	上文
위하다	為了	帶領	像這樣	完成
위험성	危險性	威脅	上文	長輩
위협	威脅	上文	長輩	儒教
