반죽	麵團	OK繃	短袖	退貨
반짝거리다	閃爍	捕捉	談戀愛	吸納
반짝반짝	閃光	猛地	勤奮地	當然
반짝이다	閃爍	談戀愛	吸納	弄清
반창고	OK繃	短袖	退貨	墊
반팔	短袖	退貨	墊	步履
반품	退貨	墊	步履	發現
반하다	談戀愛	吸納	弄清	照亮
받아들이다	吸納	弄清	照亮	點亮
받침	墊	步履	發現	發給
발걸음	步履	發現	發給	腳步
발견	發現	發給	腳步	腳跟
발급	發給	腳步	腳跟	腳尖
발길	腳步	腳跟	腳尖	發育
발꿈치	腳跟	腳尖	發育	腳背
발끝	腳尖	發育	腳背	發明
발달	發育	腳背	發明	腳踝
발등	腳背	發明	腳踝	發生
발명	發明	腳踝	發生	發音
발목	腳踝	發生	發音	腳印
발생	發生	發音	腳印	發展
발음	發音	腳印	發展	趾甲
발자국	腳印	發展	趾甲	發表
발전	發展	趾甲	發表	發表會
발톱	趾甲	發表	發表會	發行
발표	發表	發表會	發行	栗子
발표회	發表會	發行	栗子	過夜
발행	發行	栗子	過夜	棕色的
밝혀내다	弄清	照亮	點亮	踩
밝혀지다	照亮	點亮	踩	被踐踏
밝히다	點亮	踩	被踐踏	通宵
밟다	踩	被踐踏	通宵	熬夜
밟히다	被踐踏	通宵	熬夜	沾上
밤	栗子	飯	房間	房門
밤낮	日日夜夜	本來	事實	正好
밤늦다	在深夜	餓	飽飽地	繁瑣
밤새	過夜	棕色的	午夜	飯碗
밤새다	通宵	熬夜	沾上	吐
밤새우다	熬夜	沾上	吐	支撐
밤색	棕色的	午夜	飯碗	食慾
