쫓아다니다	跟著	追上來	扎	皺眉
쫓아오다	追上來	扎	皺眉	劈
쭉	哧地 (笔直地划线貌)	真	慢慢	不如
찌르다	扎	皺眉	劈	蓋
찌푸리다	皺眉	劈	蓋	閉眼
찍다	劈	長大	砍	富裕
찍히다	蓋	皺眉	眼淚	撕裂
찜질	浴	七月	車	茶
찡그리다	皺眉	眼淚	撕裂	滿滿地
찢다	眼淚	撕裂	滿滿地	踢
찢어지다	撕裂	滿滿地	踢	戴
다가가다	走近	緊挨著	離開	去一趟
다가서다	緊挨著	走近	去一趟	修剪
다가오다	走近	去一趟	修剪	處理
다녀가다	去一趟	修剪	處理	熨燙
다듬다	修剪	處理	熨燙	閉
다루다	處理	熨燙	閉	剁碎
다름없다	一樣	慶幸	硬	端正的
다리다	熨燙	閉	剁碎	競爭
다리미	熨斗	咖啡廳	多數人	下載
다물다	閉	剁碎	競爭	關閉
다방	咖啡廳	多數人	下載	多情
다소	略	我自己	真實發生	昨天
다수	多數人	下載	多情	承諾
다운로드	下載	多情	承諾	慶幸
다정	多情	承諾	慶幸	階段
다지다	剁碎	競爭	關閉	解開
다짐	承諾	慶幸	階段	常去的；常光顧的
다투다	競爭	關閉	解開	改變
다행	慶幸	階段	常去的；常光顧的	短期
다행스럽다	慶幸	硬	端正的	甜的
다행히	幸虧	簡單地	不同	當然
단	僅僅	兩三個	胡亂想	星期幾
단계	階段	常去的；常光顧的	短期	單獨
단골	常去的；常光顧的	短期	單獨	甜味
단기	短期	單獨	甜味	短髮
단단하다	硬	端正的	甜的	清淡
단독	單獨	甜味	短髮	管制
단맛	甜味	短髮	管制	單位
단발머리	短髮	管制	單位	缺點
