지능	智力	指導	指導者	捷徑
지니다	攜帶	日落	背	疲倦
지다	日落	喊出	擦	保衛
지다	背	喊出	擦	保衛
지도	指導	地方	橡皮擦	地下
지도자	指導者	捷徑	脂肪	支付
지름길	捷徑	脂肪	支付	屋頂
지방	脂肪	橡皮擦	地下	地下道
지불	支付	屋頂	操作說明	知識
지붕	屋頂	操作說明	知識	知識分子
지시	操作說明	知識	知識分子	區域
지식	知識	知識分子	區域	地獄
지식인	知識分子	區域	地獄	支持
지역	區域	地獄	支持	應聘
지옥	地獄	支持	應聘	地位
지원	支持	應聘	地位	指責
지원	應聘	應聘	地位	指責
지위	地位	指責	指定	地震
지저분하다	骯髒的	聰慧	真正	認真的
지적	指責	指定	地震	支出
지정	指定	地震	支出	拉鍊
지진	地震	支出	拉鍊	錢
지출	支出	拉鍊	錢	地下室
지치다	疲倦	觀看	夾	送進
지켜보다	觀看	夾	送進	吠
지퍼	拉鍊	錢	地下室	智慧
지폐	錢	地下室	智慧	直線
지하실	地下室	智慧	直線	上班族
지혜	智慧	直線	上班族	直的
지혜롭다	聰慧	真正	認真的	濃郁
직선	直線	上班族	直的	之後
직장인	上班族	直的	之後	診斷
직접적	直接的	密集的	衝擊的	基本的
직진	直的	之後	診斷	診斷書
직후	之後	診斷	診斷書	振動
진단	診斷	診斷書	振動	課程
진단서	診斷書	振動	課程	真相
진동	振動	課程	真相	陳述
진로	課程	真相	陳述	真實
진리	真相	陳述	真實	誠意
