문서	文書	諮詢	文字	文章
문의	諮詢	文字	文章	問題
문자	文字	文章	問題	文學
문장	文章	問題	文學	文化遺產
문제점	問題	文學	文化遺產	水邊
문학	文學	文化遺產	水邊	物價
문화재	文化遺產	水邊	物價	顏料
문화적	文化的	物質的	合法的	部分的
묻다	沾	問一下	滑	相信
묻다	埋	問一下	滑	相信
묻히다	沾	埋	咬	染色
묻히다	埋	埋	咬	染色
물가	水邊	物價	顏料	海浪
물가	物價	物價	顏料	海浪
물감	顏料	海浪	水氣	水聲
물결	海浪	水氣	水聲	水中
물기	水氣	水聲	水中	藥水
물다	咬	染色	退後	問
물들다	染色	喝	退後	被咬
물러나다	退後	戲弄	被咬	結成塊
물러서다	退後	被咬	結成塊	延到
물리다	被咬	結成塊	延到	瘋
물소리	水聲	水中	藥水	提問
물속	水中	藥水	提問	物質
물약	藥水	提問	物質	音樂劇
물음	提問	物質	音樂劇	美國人
물질	物質	音樂劇	美國人	小型的
물질적	物質的	合法的	部分的	否定的
뭉치다	結成塊	延到	瘋	造成
뭘	什麼	噓	不是	啊
뮤지컬	音樂劇	美國人	小型的	媒體
미국인	美國人	小型的	媒體	迷戀
미끄럽다	滑	不冷不熱	討厭	忙
미니	小型的	媒體	迷戀	以下
미디어	媒體	迷戀	以下	未成年
미련	迷戀	以下	未成年	微笑
미루다	延到	瘋	造成	堵
미만	以下	未成年	微笑	微小
미성년자	未成年	微笑	微小	美術
미소	微笑	微小	美術	美髮師
