창조	創建	恥辱	頻道	選擇
창피	恥辱	頻道	選擇	書包
찾아내다	找出	尋找	拜訪	上
찾아다니다	尋找	拜訪	上	充滿
찾아뵙다	拜訪	上	充滿	擔負
채널	頻道	選擇	書包	責任
채우다	上	充滿	擔負	收拾
채우다	充滿	充滿	擔負	收拾
채택	選擇	書包	責任	責任感
책가방	書包	責任	責任感	負責人
책임	責任	責任感	負責人	冠軍
책임감	責任感	負責人	冠軍	處女
책임자	負責人	冠軍	處女	處理
책임지다	擔負	收拾	處於	請求
챔피언	冠軍	處女	處理	處方
챙기다	收拾	處於	請求	積
처녀	處女	處理	處方	少年
처리	處理	距離	處方	懲罰
처방	處方	處份	懲罰	天堂
처방전	處方	懲罰	天堂	雷
처벌	懲罰	天堂	雷	天使
처하다	處於	請求	積	喝醉
천국	天堂	雷	天使	天花板
천둥	雷	天使	天花板	天才
천사	天使	天花板	天才	天主教
천장	天花板	天才	天主教	季節
천재	天才	天主教	季節	懂事
천주교	天主教	季節	懂事	鐵路
철	季節	懂事	鐵路	附
철	懂事	懂事	鐵路	附
철도	鐵路	附	第一眼	第一場雪
철저히	徹底	足夠的	喀喀地	打鼾
첨부	附	第一眼	第一場雪	初戀
첫눈	第一眼	第一場雪	初戀	第一印象
첫눈	第一場雪	第一場雪	初戀	第一印象
첫사랑	初戀	第一印象	申請書	吸塵器
첫인상	第一印象	申請書	吸塵器	求婚
청구서	申請書	吸塵器	求婚	體系
청소기	吸塵器	求婚	體系	體力
청하다	請求	積	喝醉	刮
