진술	陳述	真實	誠意	診察
진실	真實	誠意	診察	進入
진심	誠意	診察	進入	止痛藥
진정하다	真正	認真的	濃郁	煩燥
진지하다	認真的	濃郁	煩燥	涼
진찰	診察	進入	止痛藥	進學
진출	進入	止痛藥	進學	進行
진통제	止痛藥	進學	進行	主持人
진학	進學	進行	主持人	質量
진행	進行	主持人	質量	疾病
진행자	主持人	質量	疾病	秩序
질	質量	疾病	秩序	妒忌
질병	疾病	秩序	妒忌	獸
질서	秩序	妒忌	獸	猜測
질투	妒忌	獸	猜測	團體
짐승	獸	猜測	團體	租
짐작	猜測	團體	租	家
집다	夾	送進	吠	拄
집단	團體	租	家	集中
집세	租	家	集中	行為
집안	家	集中	行為	雙數
집어넣다	送進	吠	拄	編織
집중	集中	行為	雙數	咸
집중적	密集的	衝擊的	基本的	韓國的
짓	行為	雙數	咸	頁
짖다	吠	拄	編織	擠
짙다	濃郁	煩燥	涼	淡
짚다	拄	編織	擠	趕出
짜다	編織	擠	趕出	追趕
짜다	擠	擠	趕出	追趕
짜증스럽다	煩燥	熱	涼	好
짝수	雙數	咸	頁	浴
짠맛	咸	頁	浴	七月
쪽	頁	浴	七月	車
쪽	-片	浴	七月	車
쫓겨나다	趕出	追趕	追	趕去
쫓기다	追趕	追	趕去	踢出去
쫓다	追	趕去	踢出去	跟著
쫓아가다	趕去	踢出去	跟著	追上來
쫓아내다	踢出去	跟著	追上來	扎
